id,sex,age,age_cat,race,priors_count,c_charge_degree,c_charge_desc,juv_fel_count,juv_misd_count,decile_score,score_text,two_year_recid,high_risk,sex_binary,is_african_american,charge_degree_binary
4564,Male,30,25 - 45,African-American,0,F,Drug Possession,0,0,8,High,0,1,1,1,1
2573,Male,59,Greater than 45,African-American,0,M,Drug Possession,0,0,7,Medium,0,0,1,1,0
2410,Male,40,25 - 45,Caucasian,0,F,Drug Possession,0,0,10,High,0,1,1,0,1
4185,Male,33,25 - 45,African-American,0,F,Burglary,0,0,1,Low,1,0,1,1,1
946,Male,19,Less than 25,Caucasian,0,M,Drug Possession,0,0,4,Low,0,0,1,0,0
1310,Male,22,Less than 25,Hispanic,3,M,DUI,0,0,6,Medium,1,0,1,0,0
7178,Male,26,25 - 45,Caucasian,0,M,Assault,0,0,6,Medium,1,0,1,0,0
1313,Male,23,Less than 25,African-American,1,F,Battery,0,0,8,High,0,1,1,1,1
3030,Male,50,Greater than 45,Caucasian,0,F,Drug Possession,0,0,1,Low,0,0,1,0,1
6209,Female,28,25 - 45,African-American,5,F,Burglary,0,0,8,High,0,1,0,1,1
3641,Female,28,25 - 45,African-American,2,F,Possession of Cannabis,0,0,4,Low,0,0,0,1,1
687,Male,35,25 - 45,Caucasian,0,M,Battery,0,0,6,Medium,0,0,1,0,0
4109,Male,31,25 - 45,African-American,1,F,Drug Possession,0,0,7,Medium,1,0,1,1,1
1335,Male,49,Greater than 45,African-American,1,F,Battery,0,0,1,Low,0,0,1,1,1
4523,Male,18,Less than 25,African-American,1,M,Burglary,0,2,7,Medium,1,0,1,1,0
982,Female,18,Less than 25,Hispanic,4,F,Possession of Cannabis,0,0,7,Medium,0,0,0,0,1
6679,Female,18,Less than 25,African-American,6,M,Assault,0,0,10,High,1,1,0,1,0
5470,Male,30,25 - 45,African-American,1,M,Theft,0,0,7,Medium,0,0,1,1,0
4426,Male,32,25 - 45,African-American,1,F,Drug Possession,0,0,1,Low,0,0,1,1,1
2827,Male,43,25 - 45,Other,4,M,Theft,0,0,5,Medium,0,0,1,0,0
3843,Male,26,25 - 45,Caucasian,1,M,Burglary,0,1,2,Low,0,0,1,0,0
3024,Male,21,Less than 25,African-American,5,F,Theft,0,0,10,High,1,1,1,1,1
218,Male,18,Less than 25,African-American,0,F,Possession of Cannabis,0,0,10,High,1,1,1,1,1
941,Male,41,25 - 45,African-American,17,F,Assault,0,0,10,High,0,1,1,1,1
732,Male,44,25 - 45,African-American,0,F,Burglary,0,0,1,Low,0,0,1,1,1
2681,Male,45,Greater than 45,Caucasian,0,M,Battery,0,0,1,Low,1,0,1,0,0
5512,Male,36,25 - 45,African-American,0,F,Assault,0,0,3,Low,1,0,1,1,1
3636,Female,27,25 - 45,Caucasian,0,F,Assault,0,0,2,Low,0,0,0,0,1
386,Male,28,25 - 45,Caucasian,2,F,Battery,0,0,1,Low,0,0,1,0,1
3352,Male,25,25 - 45,African-American,0,M,Possession of Cannabis,0,0,1,Low,1,0,1,1,0
722,Female,25,25 - 45,African-American,4,F,Theft,0,0,8,High,0,1,0,1,1
6055,Male,33,25 - 45,Caucasian,5,F,Theft,0,0,6,Medium,1,0,1,0,1
2341,Male,31,25 - 45,African-American,5,M,Battery,0,0,10,High,1,1,1,1,0
1390,Male,24,Less than 25,African-American,4,F,DUI,0,0,6,Medium,1,0,1,1,1
4798,Female,43,25 - 45,African-American,1,M,Theft,0,0,10,High,1,1,0,1,0
5604,Male,27,25 - 45,African-American,1,M,DUI,0,0,6,Medium,0,0,1,1,0
5469,Male,46,Greater than 45,African-American,4,F,DUI,0,0,10,High,1,1,1,1,1
3146,Female,37,25 - 45,Caucasian,1,M,Battery,0,0,5,Medium,0,0,0,0,0
3587,Male,18,Less than 25,Caucasian,0,F,Theft,0,1,5,Medium,0,0,1,0,1
7202,Male,20,Less than 25,Hispanic,1,F,Theft,0,0,7,Medium,0,0,1,0,1
5000,Male,44,25 - 45,African-American,3,M,Possession of Cannabis,0,0,7,Medium,1,0,1,1,0
3713,Male,18,Less than 25,African-American,0,M,DUI,0,0,8,High,1,1,1,1,0
6680,Male,27,25 - 45,Caucasian,1,F,Battery,0,0,2,Low,0,0,1,0,1
4558,Female,42,25 - 45,African-American,0,F,Assault,0,3,7,Medium,0,0,0,1,1
3654,Male,25,25 - 45,Caucasian,0,F,Burglary,0,0,7,Medium,1,0,1,0,1
763,Male,44,25 - 45,Caucasian,2,F,Battery,3,0,2,Low,1,0,1,0,1
2588,Male,31,25 - 45,Caucasian,1,F,Burglary,0,0,3,Low,1,0,1,0,1
1470,Male,29,25 - 45,Caucasian,2,M,Possession of Cannabis,0,0,5,Medium,0,0,1,0,0
1744,Male,35,25 - 45,African-American,0,F,Possession of Cannabis,0,0,10,High,0,1,1,1,1
2442,Male,53,Greater than 45,African-American,1,F,Battery,0,0,5,Medium,1,0,1,1,1
998,Female,37,25 - 45,Caucasian,2,M,Fraud,0,0,5,Medium,1,0,0,0,0
5916,Male,37,25 - 45,African-American,3,F,Burglary,0,0,5,Medium,1,0,1,1,1
7117,Female,18,Less than 25,African-American,6,F,Theft,0,0,9,High,1,1,0,1,1
1493,Male,49,Greater than 45,African-American,5,F,Battery,0,0,8,High,1,1,1,1,1
6561,Male,20,Less than 25,African-American,0,M,Theft,0,0,8,High,0,1,1,1,0
2253,Male,40,25 - 45,Caucasian,0,M,Theft,0,0,3,Low,1,0,1,0,0
4921,Female,31,25 - 45,African-American,10,F,Battery,0,2,9,High,1,1,0,1,1
5257,Male,27,25 - 45,Caucasian,6,F,Battery,0,0,5,Medium,0,0,1,0,1
3075,Male,31,25 - 45,Other,2,M,Theft,0,0,2,Low,1,0,1,0,0
1826,Female,29,25 - 45,African-American,0,M,Theft,0,0,8,High,1,1,0,1,0
5261,Male,18,Less than 25,African-American,1,M,Battery,0,0,8,High,1,1,1,1,0
1803,Male,25,25 - 45,African-American,1,F,Assault,0,0,3,Low,0,0,1,1,1
2217,Female,30,25 - 45,Caucasian,0,F,Theft,0,0,3,Low,1,0,0,0,1
3260,Male,41,25 - 45,African-American,0,M,Battery,0,0,9,High,1,1,1,1,0
5739,Male,37,25 - 45,African-American,10,F,Assault,0,0,7,Medium,1,0,1,1,1
5653,Male,33,25 - 45,Caucasian,0,M,Possession of Cannabis,0,0,1,Low,0,0,1,0,0
1655,Male,39,25 - 45,African-American,0,F,Battery,0,0,7,Medium,1,0,1,1,1
823,Male,51,Greater than 45,Caucasian,1,F,Theft,0,0,5,Medium,0,0,1,0,1
6619,Male,24,Less than 25,Hispanic,0,F,Burglary,0,0,2,Low,1,0,1,0,1
6010,Male,43,25 - 45,Caucasian,2,F,Battery,0,0,6,Medium,1,0,1,0,1
2902,Male,54,Greater than 45,African-American,3,M,Battery,0,1,7,Medium,1,0,1,1,0
3404,Female,31,25 - 45,African-American,1,M,Battery,4,0,4,Low,0,0,0,1,0
1478,Male,43,25 - 45,African-American,1,F,Possession of Cannabis,0,0,5,Medium,0,0,1,1,1
3374,Male,34,25 - 45,Caucasian,0,F,Possession of Cannabis,0,0,7,Medium,0,0,1,0,1
5397,Male,46,Greater than 45,Caucasian,6,M,Assault,3,3,10,High,1,1,1,0,0
1331,Female,20,Less than 25,Caucasian,3,F,Assault,0,0,4,Low,0,0,0,0,1
5495,Male,44,25 - 45,African-American,0,M,Theft,0,0,1,Low,1,0,1,1,0
5372,Female,18,Less than 25,Caucasian,1,F,Possession of Cannabis,0,0,1,Low,1,0,0,0,1
4234,Female,30,25 - 45,Caucasian,0,M,Battery,0,0,4,Low,0,0,0,0,0
4869,Female,32,25 - 45,Caucasian,0,F,Possession of Cannabis,0,0,3,Low,0,0,0,0,1
3215,Male,25,25 - 45,Caucasian,0,F,Possession of Cannabis,0,0,1,Low,0,0,1,0,1
5288,Male,18,Less than 25,African-American,0,M,Assault,0,0,7,Medium,0,0,1,1,0
4051,Male,32,25 - 45,Caucasian,2,M,Burglary,0,0,4,Low,1,0,1,0,0
1932,Male,27,25 - 45,Caucasian,0,F,Theft,0,0,5,Medium,1,0,1,0,1
2069,Male,48,Greater than 45,African-American,5,M,Assault,0,0,7,Medium,0,0,1,1,0
1378,Male,32,25 - 45,Native American,0,M,Possession of Cannabis,0,2,6,Medium,1,0,1,0,0
1873,Female,37,25 - 45,Caucasian,2,M,Battery,0,0,3,Low,0,0,0,0,0
6533,Male,40,25 - 45,African-American,1,F,Theft,0,0,1,Low,0,0,1,1,1
5051,Male,19,Less than 25,African-American,1,F,Battery,0,0,9,High,1,1,1,1,1
6579,Male,33,25 - 45,Other,0,F,Theft,0,0,2,Low,1,0,1,0,1
1218,Male,22,Less than 25,Caucasian,3,M,Burglary,0,0,7,Medium,0,0,1,0,0
912,Female,52,Greater than 45,Caucasian,4,M,Assault,0,0,9,High,0,1,0,0,0
4188,Male,35,25 - 45,African-American,1,F,Battery,0,0,5,Medium,0,0,1,1,1
1805,Male,41,25 - 45,Caucasian,1,M,Possession of Cannabis,0,0,9,High,0,1,1,0,0
6507,Male,39,25 - 45,African-American,3,M,Theft,0,0,2,Low,1,0,1,1,0
3202,Male,22,Less than 25,African-American,1,F,Burglary,0,0,1,Low,1,0,1,1,1
4341,Male,36,25 - 45,Caucasian,0,M,Drug Possession,0,0,9,High,0,1,1,0,0
464,Male,24,Less than 25,African-American,2,F,Possession of Cannabis,0,0,7,Medium,1,0,1,1,1
75,Male,48,Greater than 45,Caucasian,5,F,Burglary,0,3,10,High,1,1,1,0,1
3143,Female,35,25 - 45,African-American,4,F,Burglary,0,0,8,High,1,1,0,1,1
4385,Male,19,Less than 25,African-American,1,F,Drug Possession,0,0,6,Medium,1,0,1,1,1
3198,Male,54,Greater than 45,African-American,1,F,Theft,0,0,6,Medium,1,0,1,1,1
1994,Male,49,Greater than 45,African-American,10,M,DUI,0,0,7,Medium,0,0,1,1,0
1219,Male,53,Greater than 45,African-American,0,F,Robbery,0,0,5,Medium,0,0,1,1,1
6349,Male,20,Less than 25,Caucasian,0,M,Battery,0,0,2,Low,1,0,1,0,0
3952,Male,45,Greater than 45,African-American,0,F,Possession of Cannabis,0,0,5,Medium,1,0,1,1,1
4366,Female,55,Greater than 45,Caucasian,0,M,Drug Possession,0,0,6,Medium,0,0,0,0,0
3371,Male,30,25 - 45,Hispanic,0,M,Assault,0,0,3,Low,1,0,1,0,0
343,Male,18,Less than 25,Caucasian,5,F,Assault,0,0,5,Medium,0,0,1,0,1
5996,Male,27,25 - 45,Caucasian,4,M,Battery,0,0,8,High,1,1,1,0,0
2751,Male,18,Less than 25,African-American,1,F,Drug Possession,0,0,7,Medium,1,0,1,1,1
7088,Male,19,Less than 25,African-American,0,F,Drug Possession,0,0,9,High,0,1,1,1,1
3942,Male,46,Greater than 45,Caucasian,0,F,Drug Possession,0,0,8,High,1,1,1,0,1
6479,Male,48,Greater than 45,Caucasian,0,F,Assault,0,0,10,High,1,1,1,0,1
5943,Male,43,25 - 45,Hispanic,2,M,Burglary,0,0,4,Low,0,0,1,0,0
6442,Male,20,Less than 25,African-American,0,F,Possession of Cannabis,0,0,7,Medium,1,0,1,1,1
3744,Male,35,25 - 45,Caucasian,0,M,Battery,0,0,1,Low,0,0,1,0,0
51,Male,37,25 - 45,African-American,0,F,Battery,0,0,2,Low,1,0,1,1,1
4675,Male,19,Less than 25,African-American,5,M,Battery,0,0,10,High,1,1,1,1,0
6435,Male,58,Greater than 45,African-American,2,F,Battery,0,0,4,Low,1,0,1,1,1
4412,Male,28,25 - 45,African-American,0,F,Battery,0,1,7,Medium,0,0,1,1,1
4371,Male,18,Less than 25,Caucasian,0,F,Possession of Cannabis,0,0,2,Low,0,0,1,0,1
3012,Male,28,25 - 45,African-American,3,F,Battery,0,0,4,Low,1,0,1,1,1
6652,Female,32,25 - 45,African-American,3,F,Battery,0,0,7,Medium,0,0,0,1,1
3803,Male,34,25 - 45,African-American,1,F,Possession of Cannabis,0,0,8,High,1,1,1,1,1
1204,Male,34,25 - 45,Caucasian,1,F,DUI,0,0,1,Low,1,0,1,0,1
793,Male,26,25 - 45,African-American,0,M,Battery,0,0,7,Medium,0,0,1,1,0
3954,Male,32,25 - 45,African-American,4,F,Battery,0,0,5,Medium,1,0,1,1,1
2813,Male,18,Less than 25,Caucasian,1,F,Theft,0,0,6,Medium,0,0,1,0,1
2957,Male,48,Greater than 45,Caucasian,2,F,DUI,0,0,9,High,0,1,1,0,1
6687,Male,18,Less than 25,African-American,1,M,Theft,0,0,2,Low,1,0,1,1,0
6151,Female,32,25 - 45,Caucasian,2,M,Burglary,0,0,9,High,0,1,0,0,0
2027,Male,34,25 - 45,African-American,4,M,Battery,0,0,2,Low,0,0,1,1,0
7001,Male,28,25 - 45,African-American,0,F,Battery,0,0,5,Medium,0,0,1,1,1
1657,Male,27,25 - 45,African-American,0,F,Assault,0,1,4,Low,1,0,1,1,1
4793,Male,18,Less than 25,African-American,1,F,Burglary,0,1,9,High,0,1,1,1,1
7098,Male,21,Less than 25,Hispanic,1,F,Burglary,0,0,4,Low,1,0,1,0,1
6032,Male,25,25 - 45,African-American,3,F,Assault,0,0,6,Medium,0,0,1,1,1
2564,Male,28,25 - 45,Caucasian,0,F,Possession of Cannabis,0,0,7,Medium,0,0,1,0,1
3452,Male,47,Greater than 45,African-American,1,F,Burglary,0,0,6,Medium,1,0,1,1,1
734,Male,33,25 - 45,African-American,0,F,Drug Possession,0,0,3,Low,0,0,1,1,1
184,Male,27,25 - 45,Caucasian,0,F,Burglary,0,0,3,Low,1,0,1,0,1
5110,Male,39,25 - 45,Hispanic,1,M,Possession of Cannabis,0,0,7,Medium,0,0,1,0,0
7156,Male,21,Less than 25,African-American,2,M,Possession of Cannabis,0,0,1,Low,1,0,1,1,0
2207,Male,29,25 - 45,African-American,8,F,Battery,0,0,6,Medium,0,0,1,1,1
1267,Male,30,25 - 45,Caucasian,0,F,Drug Possession,0,0,3,Low,0,0,1,0,1
5952,Male,26,25 - 45,African-American,3,F,Battery,0,0,5,Medium,1,0,1,1,1
1005,Male,41,25 - 45,African-American,2,M,Assault,0,0,9,High,1,1,1,1,0
4509,Female,18,Less than 25,African-American,0,F,DUI,0,0,5,Medium,1,0,0,1,1
6545,Male,27,25 - 45,Caucasian,0,M,Theft,0,0,1,Low,0,0,1,0,0
1076,Male,29,25 - 45,African-American,0,F,Battery,0,0,7,Medium,0,0,1,1,1
211,Male,52,Greater than 45,African-American,0,F,Burglary,4,0,2,Low,1,0,1,1,1
962,Male,26,25 - 45,Hispanic,2,F,Fraud,0,0,7,Medium,1,0,1,0,1
381,Male,37,25 - 45,Hispanic,1,M,Burglary,0,0,2,Low,1,0,1,0,0
133,Male,57,Greater than 45,African-American,4,F,Possession of Cannabis,0,0,1,Low,1,0,1,1,1
2126,Male,47,Greater than 45,Other,5,F,Possession of Cannabis,0,0,3,Low,0,0,1,0,1
541,Male,18,Less than 25,Caucasian,0,F,Battery,3,0,3,Low,1,0,1,0,1
5144,Male,27,25 - 45,Hispanic,0,M,Theft,0,0,10,High,0,1,1,0,0
4550,Male,49,Greater than 45,African-American,1,M,Burglary,0,0,6,Medium,1,0,1,1,0
2193,Male,36,25 - 45,African-American,1,M,Battery,0,0,5,Medium,1,0,1,1,0
2219,Male,41,25 - 45,African-American,8,M,Burglary,0,0,6,Medium,0,0,1,1,0
4880,Male,38,25 - 45,African-American,0,M,Possession of Cannabis,0,0,4,Low,1,0,1,1,0
6293,Male,38,25 - 45,African-American,7,F,Possession of Cannabis,0,0,7,Medium,0,0,1,1,1
4392,Male,20,Less than 25,Caucasian,10,F,Possession of Cannabis,0,0,6,Medium,0,0,1,0,1
4852,Male,55,Greater than 45,Caucasian,0,F,Assault,0,1,7,Medium,0,0,1,0,1
3502,Male,41,25 - 45,African-American,7,F,Possession of Cannabis,0,0,4,Low,1,0,1,1,1
619,Male,25,25 - 45,African-American,10,M,Theft,0,0,7,Medium,0,0,1,1,0
744,Female,62,Greater than 45,African-American,0,M,Battery,0,0,9,High,0,1,0,1,0
274,Male,42,25 - 45,African-American,1,M,Theft,0,0,4,Low,0,0,1,1,0
4667,Male,38,25 - 45,Native American,0,M,Battery,0,0,5,Medium,0,0,1,0,0
3997,Male,38,25 - 45,Hispanic,1,M,Possession of Cannabis,3,0,9,High,1,1,1,0,0
786,Male,20,Less than 25,African-American,2,F,Possession of Cannabis,0,0,8,High,1,1,1,1,1
3669,Male,36,25 - 45,Hispanic,0,M,Burglary,0,0,3,Low,1,0,1,0,0
948,Male,18,Less than 25,African-American,6,F,Possession of Cannabis,0,0,6,Medium,1,0,1,1,1
3582,Male,47,Greater than 45,African-American,1,F,Assault,3,0,9,High,0,1,1,1,1
2391,Female,42,25 - 45,Caucasian,0,M,Burglary,0,0,1,Low,0,0,0,0,0
775,Male,32,25 - 45,Caucasian,1,F,Theft,0,0,2,Low,1,0,1,0,1
3807,Male,20,Less than 25,Caucasian,0,F,Burglary,0,0,6,Medium,0,0,1,0,1
5046,Male,18,Less than 25,Hispanic,0,F,Battery,0,0,4,Low,0,0,1,0,1
3428,Male,34,25 - 45,African-American,1,M,Possession of Cannabis,0,1,7,Medium,1,0,1,1,0
1956,Female,40,25 - 45,Caucasian,0,M,Theft,0,0,1,Low,0,0,0,0,0
3364,Male,18,Less than 25,Caucasian,1,F,Burglary,0,0,3,Low,1,0,1,0,1
6470,Male,38,25 - 45,Caucasian,0,M,Theft,0,0,5,Medium,0,0,1,0,0
4430,Male,44,25 - 45,Caucasian,1,M,Burglary,0,0,1,Low,0,0,1,0,0
2334,Male,32,25 - 45,African-American,0,M,Theft,0,0,9,High,1,1,1,1,0
6833,Male,23,Less than 25,African-American,6,F,DUI,0,0,10,High,1,1,1,1,1
3209,Male,18,Less than 25,Hispanic,0,M,Possession of Cannabis,0,0,6,Medium,1,0,1,0,0
1161,Male,59,Greater than 45,Caucasian,0,M,DUI,0,0,5,Medium,0,0,1,0,0
1168,Male,43,25 - 45,African-American,5,M,Assault,0,0,8,High,1,1,1,1,0
4728,Male,40,25 - 45,African-American,4,M,Theft,0,0,6,Medium,1,0,1,1,0
4248,Male,32,25 - 45,African-American,3,F,Battery,0,0,9,High,1,1,1,1,1
3348,Male,36,25 - 45,African-American,0,F,Assault,0,0,3,Low,1,0,1,1,1
5368,Male,43,25 - 45,African-American,6,F,Battery,0,0,10,High,0,1,1,1,1
4538,Male,18,Less than 25,African-American,1,F,Assault,0,0,3,Low,1,0,1,1,1
2601,Male,31,25 - 45,Caucasian,1,F,Possession of Cannabis,0,0,3,Low,0,0,1,0,1
6650,Male,25,25 - 45,Caucasian,1,F,Drug Possession,0,0,7,Medium,1,0,1,0,1
186,Male,33,25 - 45,African-American,1,M,Drug Possession,0,0,9,High,0,1,1,1,0
5575,Male,27,25 - 45,African-American,2,F,Battery,0,1,3,Low,1,0,1,1,1
5923,Male,40,25 - 45,Hispanic,0,F,Battery,0,0,4,Low,0,0,1,0,1
2425,Male,39,25 - 45,Caucasian,1,F,Theft,0,0,6,Medium,1,0,1,0,1
669,Male,24,Less than 25,Caucasian,2,F,Drug Possession,0,0,5,Medium,1,0,1,0,1
6186,Male,20,Less than 25,African-American,0,M,Battery,2,0,8,High,0,1,1,1,0
5711,Male,57,Greater than 45,Caucasian,6,F,Possession of Cannabis,0,0,9,High,1,1,1,0,1
4049,Male,37,25 - 45,Hispanic,1,F,Theft,0,0,4,Low,0,0,1,0,1
5064,Male,25,25 - 45,African-American,2,M,Battery,0,0,10,High,0,1,1,1,0
1205,Male,51,Greater than 45,African-American,2,F,Possession of Cannabis,1,0,8,High,0,1,1,1,1
6002,Male,49,Greater than 45,Caucasian,0,F,Battery,0,0,1,Low,1,0,1,0,1
2132,Male,32,25 - 45,Hispanic,0,F,Possession of Cannabis,0,0,5,Medium,1,0,1,0,1
1628,Male,24,Less than 25,Hispanic,3,F,Battery,0,0,4,Low,1,0,1,0,1
583,Male,35,25 - 45,African-American,1,F,Assault,0,0,5,Medium,1,0,1,1,1
1432,Male,55,Greater than 45,African-American,2,M,Battery,0,0,4,Low,0,0,1,1,0
6962,Female,18,Less than 25,Caucasian,0,M,Burglary,0,2,6,Medium,1,0,0,0,0
4210,Male,22,Less than 25,African-American,5,F,Battery,0,0,7,Medium,0,0,1,1,1
3318,Male,55,Greater than 45,African-American,1,F,Robbery,0,0,7,Medium,1,0,1,1,1
1795,Male,24,Less than 25,Caucasian,1,F,Robbery,0,0,6,Medium,1,0,1,0,1
6912,Male,29,25 - 45,African-American,3,F,Possession of Cannabis,0,0,5,Medium,1,0,1,1,1
6872,Male,35,25 - 45,Caucasian,0,F,Burglary,0,0,1,Low,0,0,1,0,1
3856,Male,33,25 - 45,African-American,2,F,Possession of Cannabis,0,0,6,Medium,0,0,1,1,1
1429,Male,26,25 - 45,Caucasian,8,F,Theft,0,0,10,High,1,1,1,0,1
3692,Male,37,25 - 45,African-American,0,F,Possession of Cannabis,0,0,6,Medium,0,0,1,1,1
6978,Male,46,Greater than 45,Caucasian,0,M,Battery,2,0,6,Medium,0,0,1,0,0
4857,Male,47,Greater than 45,African-American,0,M,Assault,0,0,8,High,0,1,1,1,0
1406,Male,37,25 - 45,African-American,6,M,Possession of Cannabis,0,0,9,High,1,1,1,1,0
2237,Male,24,Less than 25,Caucasian,0,M,Battery,0,2,5,Medium,1,0,1,0,0
3493,Male,32,25 - 45,Caucasian,0,F,Battery,0,0,1,Low,0,0,1,0,1
790,Male,52,Greater than 45,Caucasian,4,M,Battery,0,0,6,Medium,1,0,1,0,0
4980,Male,18,Less than 25,Caucasian,1,F,Battery,0,0,7,Medium,0,0,1,0,1
4796,Female,35,25 - 45,African-American,0,F,Burglary,0,0,4,Low,0,0,0,1,1
780,Male,35,25 - 45,African-American,6,M,Possession of Cannabis,0,0,3,Low,1,0,1,1,0
4800,Female,43,25 - 45,African-American,4,F,Burglary,0,0,7,Medium,0,0,0,1,1
4045,Male,18,Less than 25,African-American,0,F,Battery,0,0,4,Low,1,0,1,1,1
1191,Male,26,25 - 45,African-American,9,M,Possession of Cannabis,0,0,8,High,1,1,1,1,0
331,Male,18,Less than 25,African-American,1,F,Assault,0,0,7,Medium,0,0,1,1,1
368,Male,19,Less than 25,Other,1,F,Drug Possession,0,0,1,Low,1,0,1,0,1
4383,Male,40,25 - 45,African-American,1,F,Battery,0,0,3,Low,0,0,1,1,1
3265,Male,21,Less than 25,Hispanic,0,M,Drug Possession,0,0,6,Medium,0,0,1,0,0
650,Male,39,25 - 45,Caucasian,1,F,Theft,0,0,4,Low,0,0,1,0,1
1815,Male,35,25 - 45,Caucasian,2,F,Theft,0,0,4,Low,0,0,1,0,1
1966,Male,47,Greater than 45,African-American,1,F,Assault,0,0,1,Low,1,0,1,1,1
1041,Male,19,Less than 25,Other,1,M,Battery,0,0,2,Low,0,0,1,0,0
6606,Male,25,25 - 45,Other,1,F,Possession of Cannabis,0,0,5,Medium,0,0,1,0,1
2048,Male,27,25 - 45,African-American,0,M,Possession of Cannabis,0,0,4,Low,0,0,1,1,0
4470,Male,46,Greater than 45,Caucasian,5,F,Drug Possession,0,0,8,High,0,1,1,0,1
5392,Male,33,25 - 45,African-American,8,F,Assault,0,0,10,High,0,1,1,1,1
48,Male,29,25 - 45,Caucasian,0,F,Assault,0,0,6,Medium,0,0,1,0,1
6028,Male,33,25 - 45,African-American,8,F,Drug Possession,0,0,10,High,1,1,1,1,1
4761,Male,32,25 - 45,African-American,6,F,Theft,0,1,8,High,0,1,1,1,1
7155,Male,26,25 - 45,African-American,3,F,Assault,0,0,4,Low,0,0,1,1,1
5060,Male,22,Less than 25,Caucasian,0,F,Battery,0,0,4,Low,1,0,1,0,1
3930,Female,48,Greater than 45,African-American,5,M,Battery,0,0,7,Medium,0,0,0,1,0
625,Male,26,25 - 45,African-American,4,F,Theft,0,0,9,High,1,1,1,1,1
7093,Male,18,Less than 25,African-American,1,M,Battery,0,0,10,High,1,1,1,1,0
6918,Male,23,Less than 25,Caucasian,0,M,Theft,0,0,5,Medium,0,0,1,0,0
4733,Male,32,25 - 45,African-American,1,M,Theft,0,0,7,Medium,0,0,1,1,0
3987,Male,46,Greater than 45,Caucasian,1,F,Battery,0,2,1,Low,0,0,1,0,1
