loan_type,loan_purpose,loan_amount_000s,action_taken,action_taken_name,applicant_sex,applicant_race_1,applicant_income_000s,debt_to_income_ratio,combined_loan_to_value,census_tract_minority_pct,sex_binary,race_white,race_black,race_hispanic,hoepa_binary,loan_type_code,loan_purpose_code,approved
FHA-insured,Refinancing,256.8,1,Loan originated,Male,White,58.1,26.2,63.7,51.4,1,1,0,0,0,1,1,1
Conventional,Home purchase,366.4,3,Application denied,Female,White,90.5,41.7,41.4,10.1,0,1,0,0,0,0,0,0
Conventional,Cash-out refinancing,274.6,1,Loan originated,Male,White,64.9,25.7,105.0,49.1,1,1,0,0,0,0,3,1
FHA-insured,Home purchase,61.3,3,Application denied,Female,Hispanic or Latino,19.8,22.6,77.0,64.4,0,0,0,1,0,1,0,0
Conventional,Refinancing,315.5,3,Application denied,Male,Black or African American,85.0,60.9,103.7,49.3,1,0,1,0,0,0,1,0
Conventional,Home purchase,362.5,1,Loan originated,Male,Asian,109.4,48.7,105.0,29.8,1,0,0,0,0,0,0,1
FHA-insured,Home purchase,297.8,1,Loan originated,Female,White,86.8,32.5,94.4,42.8,0,1,0,0,0,1,0,1
VA-guaranteed,Home purchase,192.7,3,Application denied,Female,White,49.8,35.9,78.2,39.8,0,1,0,0,0,2,0,0
Conventional,Home purchase,298.3,1,Loan originated,Female,Asian,111.4,31.1,100.9,25.5,0,0,0,0,0,0,0,1
VA-guaranteed,Home improvement,167.7,1,Loan originated,Male,Hispanic or Latino,63.9,50.3,79.4,82.4,1,0,0,1,0,2,2,1
FSA/RHS-guaranteed,Home purchase,109.0,1,Loan originated,Female,Hispanic or Latino,42.6,18.1,94.9,67.3,0,0,0,1,0,3,0,1
Conventional,Home purchase,187.4,3,Application denied,Male,American Indian or Alaska Native,51.7,42.9,76.1,37.1,1,0,0,0,0,0,0,0
Conventional,Home purchase,138.6,1,Loan originated,Male,American Indian or Alaska Native,52.0,41.7,69.3,44.8,1,0,0,0,0,0,0,1
Conventional,Home improvement,85.0,3,Application denied,Male,Black or African American,30.7,42.9,76.2,58.9,1,0,1,0,0,0,2,0
Conventional,Home purchase,529.5,1,Loan originated,Male,White,126.8,58.6,53.6,9.6,1,1,0,0,0,0,0,1
Conventional,Refinancing,388.9,1,Loan originated,Female,White,106.0,30.1,71.9,29.5,0,1,0,0,0,0,1,1
FSA/RHS-guaranteed,Refinancing,361.3,1,Loan originated,Female,Hispanic or Latino,100.8,46.8,91.7,84.1,0,0,0,1,0,3,1,1
Conventional,Refinancing,132.7,3,Application denied,Female,Hispanic or Latino,36.8,33.0,67.8,75.7,0,0,0,1,0,0,1,0
Conventional,Refinancing,244.0,1,Loan originated,Male,Black or African American,55.0,40.2,93.1,88.9,1,0,1,0,0,0,1,1
Conventional,Home purchase,322.4,3,Application denied,Male,Hispanic or Latino,78.4,38.1,104.2,88.5,1,0,0,1,0,0,0,0
FHA-insured,Home purchase,211.3,3,Application denied,Female,Hispanic or Latino,74.9,22.7,97.4,75.0,0,0,0,1,0,1,0,0
Conventional,Refinancing,191.0,1,Loan originated,Female,White,67.1,45.0,64.2,23.8,0,1,0,0,0,0,1,1
Conventional,Cash-out refinancing,575.3,1,Loan originated,Male,White,138.3,36.4,68.7,4.8,1,1,0,0,0,0,3,1
Conventional,Refinancing,253.6,1,Loan originated,Female,White,63.9,26.5,88.0,39.7,0,1,0,0,0,0,1,1
VA-guaranteed,Home purchase,437.8,3,Application denied,Male,White,108.6,12.9,105.0,25.7,1,1,0,0,0,2,0,0
VA-guaranteed,Home purchase,569.6,1,Loan originated,Female,White,136.6,37.7,64.4,74.1,0,1,0,0,0,2,0,1
Conventional,Refinancing,269.3,3,Application denied,Female,White,79.6,39.5,96.8,31.0,0,1,0,0,0,0,1,0
Conventional,Home purchase,253.1,1,Loan originated,Male,White,85.7,32.3,92.4,65.8,1,1,0,0,0,0,0,1
Conventional,Home purchase,437.2,1,Loan originated,Male,Hispanic or Latino,102.7,36.0,68.1,74.5,1,0,0,1,0,0,0,1
FHA-insured,Refinancing,156.7,3,Application denied,Female,White,44.3,58.5,87.1,11.7,0,1,0,0,0,1,1,0
FHA-insured,Refinancing,293.0,3,Application denied,Male,White,96.2,36.7,99.0,60.5,1,1,0,0,0,1,1,0
Conventional,Home purchase,289.6,1,Loan originated,Female,White,106.0,29.8,24.4,33.2,0,1,0,0,0,0,0,1
Conventional,Refinancing,430.6,3,Application denied,Male,White,114.9,41.2,82.6,17.5,1,1,0,0,0,0,1,0
Conventional,Refinancing,401.1,3,Application denied,Male,Asian,128.8,47.7,105.0,43.3,1,0,0,0,0,0,1,0
FHA-insured,Home purchase,246.6,1,Loan originated,Female,Black or African American,67.9,31.9,86.1,89.6,0,0,1,0,0,1,0,1
Conventional,Cash-out refinancing,245.4,1,Loan originated,Female,White,69.4,36.0,61.7,26.2,0,1,0,0,0,0,3,1
Conventional,Home purchase,319.4,1,Loan originated,Male,White,80.4,18.0,105.0,25.7,1,1,0,0,0,0,0,1
VA-guaranteed,Home purchase,260.6,3,Application denied,Male,Black or African American,83.6,34.1,83.1,88.7,1,0,1,0,0,2,0,0
Conventional,Refinancing,248.8,3,Application denied,Female,Hispanic or Latino,64.8,28.1,81.1,68.5,0,0,0,1,0,0,1,0
FHA-insured,Home purchase,117.9,3,Application denied,Male,Black or African American,44.6,44.2,70.8,83.7,1,0,1,0,0,1,0,0
Conventional,Refinancing,202.9,1,Loan originated,Female,Black or African American,80.7,48.8,79.2,83.2,0,0,1,0,0,0,1,1
Conventional,Refinancing,268.3,1,Loan originated,Male,Asian,95.9,40.1,105.0,25.3,1,0,0,0,0,0,1,1
Conventional,Home purchase,410.6,1,Loan originated,Male,White,113.1,32.6,64.8,4.9,1,1,0,0,0,0,0,1
Conventional,Home purchase,333.1,1,Loan originated,Male,White,92.2,19.2,91.5,13.7,1,1,0,0,0,0,0,1
VA-guaranteed,Home purchase,62.7,1,Loan originated,Female,White,15.0,36.8,97.4,36.5,0,1,0,0,0,2,0,1
Conventional,Home purchase,199.6,1,Loan originated,Female,Hispanic or Latino,55.5,30.7,64.1,87.2,0,0,0,1,0,0,0,1
FHA-insured,Home purchase,231.2,3,Application denied,Male,Black or African American,74.3,51.9,58.8,45.5,1,0,1,0,0,1,0,0
Conventional,Refinancing,165.7,3,Application denied,Female,Black or African American,49.6,33.3,96.9,87.2,0,0,1,0,0,0,1,0
FHA-insured,Home purchase,234.1,1,Loan originated,Female,White,80.4,16.9,34.0,23.2,0,1,0,0,0,1,0,1
Conventional,Home purchase,318.7,3,Application denied,Male,White,103.9,54.6,85.1,29.3,1,1,0,0,0,0,0,0
Conventional,Home purchase,307.6,3,Application denied,Female,Black or African American,69.6,55.8,77.2,71.4,0,0,1,0,0,0,0,0
VA-guaranteed,Home purchase,389.4,1,Loan originated,Male,White,107.0,23.3,91.8,36.0,1,1,0,0,0,2,0,1
FHA-insured,Home purchase,330.0,1,Loan originated,Female,Hispanic or Latino,84.2,46.1,60.6,80.1,0,0,0,1,0,1,0,1
FHA-insured,Home purchase,90.2,1,Loan originated,Male,White,33.0,32.8,86.8,46.2,1,1,0,0,0,1,0,1
Conventional,Home purchase,134.9,1,Loan originated,Female,White,39.3,26.6,63.3,17.1,0,1,0,0,0,0,0,1
FHA-insured,Home purchase,300.9,3,Application denied,Male,White,104.2,45.8,66.9,24.8,1,1,0,0,0,1,0,0
FHA-insured,Refinancing,301.0,1,Loan originated,Male,Hispanic or Latino,82.8,49.6,89.4,64.5,1,0,0,1,0,1,1,1
VA-guaranteed,Home purchase,233.0,1,Loan originated,Male,White,77.7,37.9,87.3,46.6,1,1,0,0,0,2,0,1
Conventional,Refinancing,397.9,3,Application denied,Female,Black or African American,122.0,38.3,104.8,80.3,0,0,1,0,0,0,1,0
Conventional,Home improvement,200.9,3,Application denied,Male,White,68.1,37.0,65.8,7.1,1,1,0,0,0,0,2,0
VA-guaranteed,Home purchase,162.4,3,Application denied,Female,White,38.9,32.3,51.7,34.7,0,1,0,0,0,2,0,0
Conventional,Refinancing,316.2,1,Loan originated,Male,White,108.4,44.9,29.5,16.2,1,1,0,0,0,0,1,1
FHA-insured,Refinancing,304.7,1,Loan originated,Female,White,70.3,35.2,88.3,2.6,0,1,0,0,0,1,1,1
FHA-insured,Cash-out refinancing,301.6,1,Loan originated,Male,Asian,112.9,20.3,105.0,60.1,1,0,0,0,0,1,3,1
Conventional,Home purchase,354.0,3,Application denied,Male,White,84.4,41.8,88.9,31.1,1,1,0,0,0,0,0,0
Conventional,Home purchase,353.2,1,Loan originated,Female,White,90.1,33.8,64.6,29.1,0,1,0,0,0,0,0,1
Conventional,Home purchase,119.9,1,Loan originated,Male,White,46.7,38.8,92.3,4.4,1,1,0,0,0,0,0,1
Conventional,Refinancing,356.9,1,Loan originated,Male,Asian,134.9,31.8,70.8,21.2,1,0,0,0,0,0,1,1
Conventional,Cash-out refinancing,251.6,1,Loan originated,Female,American Indian or Alaska Native,63.3,31.8,80.4,45.3,0,0,0,0,0,0,3,1
FHA-insured,Home purchase,249.4,1,Loan originated,Female,Black or African American,72.1,43.7,85.9,80.8,0,0,1,0,0,1,0,1
Conventional,Home purchase,537.5,1,Loan originated,Male,White,130.6,39.2,105.0,28.0,1,1,0,0,0,0,0,1
Conventional,Home purchase,323.0,1,Loan originated,Female,Asian,100.9,28.5,95.8,9.9,0,0,0,0,0,0,0,1
VA-guaranteed,Home purchase,163.1,1,Loan originated,Female,White,56.0,27.1,69.8,29.1,0,1,0,0,0,2,0,1
Conventional,Home purchase,143.3,1,Loan originated,Female,Hispanic or Latino,37.5,35.8,75.5,83.0,0,0,0,1,0,0,0,1
FHA-insured,Refinancing,221.3,1,Loan originated,Male,White,79.8,44.5,84.0,27.4,1,1,0,0,0,1,1,1
FHA-insured,Home purchase,213.7,1,Loan originated,Male,White,55.3,38.2,68.9,31.8,1,1,0,0,0,1,0,1
Conventional,Home improvement,223.7,1,Loan originated,Female,White,86.0,41.4,82.3,9.1,0,1,0,0,1,0,2,1
Conventional,Home purchase,213.7,1,Loan originated,Male,White,52.6,35.9,75.6,14.8,1,1,0,0,0,0,0,1
Conventional,Home improvement,363.8,3,Application denied,Female,Black or African American,91.3,39.8,78.3,52.5,0,0,1,0,0,0,2,0
Conventional,Cash-out refinancing,222.0,3,Application denied,Male,Hispanic or Latino,56.7,21.7,69.8,76.2,1,0,0,1,0,0,3,0
VA-guaranteed,Refinancing,212.1,3,Application denied,Male,American Indian or Alaska Native,66.1,35.9,104.8,26.0,1,0,0,0,0,2,1,0
Conventional,Home purchase,53.8,1,Loan originated,Female,White,18.8,18.3,93.6,32.2,0,1,0,0,0,0,0,1
Conventional,Refinancing,353.2,3,Application denied,Male,Black or African American,116.1,32.2,81.2,80.0,1,0,1,0,0,0,1,0
FSA/RHS-guaranteed,Home purchase,219.9,1,Loan originated,Male,White,67.4,25.5,38.5,24.3,1,1,0,0,0,3,0,1
FHA-insured,Home purchase,151.0,1,Loan originated,Male,Hispanic or Latino,33.8,40.0,74.6,85.6,1,0,0,1,0,1,0,1
Conventional,Home improvement,619.9,1,Loan originated,Female,White,141.7,40.8,86.4,13.1,0,1,0,0,0,0,2,1
Conventional,Home improvement,286.2,1,Loan originated,Male,White,89.8,23.6,28.7,23.5,1,1,0,0,0,0,2,1
Conventional,Home purchase,187.8,1,Loan originated,Male,White,64.2,30.7,58.3,16.0,1,1,0,0,0,0,0,1
FHA-insured,Refinancing,192.8,1,Loan originated,Female,White,63.7,37.0,61.2,16.4,0,1,0,0,0,1,1,1
Conventional,Refinancing,398.0,1,Loan originated,Male,Asian,88.9,44.8,66.7,8.3,1,0,0,0,0,0,1,1
Conventional,Home purchase,208.9,1,Loan originated,Male,White,68.2,36.1,73.8,14.7,1,1,0,0,0,0,0,1
FHA-insured,Home purchase,107.7,1,Loan originated,Male,White,41.4,40.8,70.8,19.9,1,1,0,0,0,1,0,1
FHA-insured,Cash-out refinancing,564.8,1,Loan originated,Male,White,132.8,24.8,89.6,42.5,1,1,0,0,0,1,3,1
FHA-insured,Refinancing,242.0,1,Loan originated,Female,White,66.1,38.4,66.7,7.8,0,1,0,0,0,1,1,1
Conventional,Refinancing,320.7,1,Loan originated,Male,White,72.0,45.8,65.8,27.8,1,1,0,0,0,0,1,1
FHA-insured,Refinancing,50.0,3,Application denied,Female,Hispanic or Latino,15.0,34.4,88.0,44.6,0,0,0,1,0,1,1,0
FHA-insured,Home purchase,506.3,1,Loan originated,Male,White,136.0,26.2,66.2,45.8,1,1,0,0,0,1,0,1
Conventional,Home purchase,466.6,1,Loan originated,Male,White,117.5,43.8,105.0,20.3,1,1,0,0,0,0,0,1
Conventional,Refinancing,219.5,1,Loan originated,Male,White,54.7,35.7,77.0,32.1,1,1,0,0,0,0,1,1
Conventional,Home purchase,59.0,1,Loan originated,Male,Black or African American,15.0,37.8,59.1,92.7,1,0,1,0,0,0,0,1
Conventional,Home purchase,169.8,1,Loan originated,Male,Hispanic or Latino,40.9,43.4,77.2,87.0,1,0,0,1,0,0,0,1
Conventional,Home purchase,120.9,1,Loan originated,Male,White,28.6,37.3,80.0,18.1,1,1,0,0,0,0,0,1
FHA-insured,Refinancing,367.6,3,Application denied,Male,White,123.1,34.5,72.7,8.5,1,1,0,0,0,1,1,0
Conventional,Home purchase,301.0,1,Loan originated,Female,White,107.1,35.1,50.9,56.6,0,1,0,0,0,0,0,1
FHA-insured,Refinancing,522.0,1,Loan originated,Male,White,132.7,30.2,60.2,38.2,1,1,0,0,0,1,1,1
FHA-insured,Home purchase,359.3,1,Loan originated,Male,Black or African American,101.0,47.3,61.8,70.9,1,0,1,0,0,1,0,1
Conventional,Refinancing,320.2,1,Loan originated,Female,White,111.5,33.9,48.8,22.5,0,1,0,0,0,0,1,1
Conventional,Home purchase,443.2,3,Application denied,Male,Black or African American,103.0,48.4,81.1,74.3,1,0,1,0,0,0,0,0
FHA-insured,Home purchase,287.2,1,Loan originated,Male,White,107.9,26.2,91.2,14.5,1,1,0,0,0,1,0,1
FSA/RHS-guaranteed,Home purchase,190.6,1,Loan originated,Female,White,59.4,29.0,94.3,14.6,0,1,0,0,0,3,0,1
Conventional,Home improvement,330.2,1,Loan originated,Female,White,88.5,24.1,66.7,5.5,0,1,0,0,0,0,2,1
Conventional,Home purchase,195.4,1,Loan originated,Male,Black or African American,55.9,35.2,94.1,62.5,1,0,1,0,0,0,0,1
FHA-insured,Home purchase,264.8,1,Loan originated,Male,White,97.4,39.4,101.5,20.6,1,1,0,0,0,1,0,1
FHA-insured,Home purchase,561.1,1,Loan originated,Male,White,131.1,38.8,61.0,16.7,1,1,0,0,0,1,0,1
FSA/RHS-guaranteed,Refinancing,267.3,1,Loan originated,Male,White,61.3,46.0,71.7,18.4,1,1,0,0,0,3,1,1
Conventional,Refinancing,390.0,1,Loan originated,Male,Asian,90.2,22.5,105.0,18.1,1,0,0,0,0,0,1,1
VA-guaranteed,Home purchase,417.8,3,Application denied,Male,White,123.1,28.1,86.9,32.9,1,1,0,0,0,2,0,0
Conventional,Home purchase,461.0,3,Application denied,Male,Black or African American,113.7,39.6,84.6,75.7,1,0,1,0,0,0,0,0
Conventional,Home purchase,506.3,1,Loan originated,Male,White,126.3,38.4,71.6,31.1,1,1,0,0,0,0,0,1
VA-guaranteed,Home purchase,403.8,1,Loan originated,Female,White,107.4,21.8,104.5,46.7,0,1,0,0,0,2,0,1
Conventional,Home purchase,168.2,1,Loan originated,Male,White,45.0,37.1,84.7,27.2,1,1,0,0,0,0,0,1
FSA/RHS-guaranteed,Refinancing,240.8,1,Loan originated,Male,Asian,87.2,35.4,91.7,36.0,1,0,0,0,0,3,1,1
Conventional,Home purchase,257.7,1,Loan originated,Male,White,82.8,38.2,85.0,41.6,1,1,0,0,0,0,0,1
Conventional,Home purchase,368.0,1,Loan originated,Male,White,121.9,25.3,84.3,45.7,1,1,0,0,0,0,0,1
FSA/RHS-guaranteed,Refinancing,217.6,1,Loan originated,Female,White,67.0,24.8,72.9,40.8,0,1,0,0,0,3,1,1
Conventional,Home purchase,235.5,1,Loan originated,Female,White,57.9,19.5,58.9,27.2,0,1,0,0,0,0,0,1
Conventional,Refinancing,314.3,3,Application denied,Male,Black or African American,72.4,49.9,97.0,80.7,1,0,1,0,0,0,1,0
FHA-insured,Refinancing,472.5,3,Application denied,Male,Asian,113.5,27.3,98.5,15.8,1,0,0,0,0,1,1,0
Conventional,Home purchase,58.5,1,Loan originated,Female,Hispanic or Latino,15.0,44.5,84.0,46.2,0,0,0,1,0,0,0,1
Conventional,Home purchase,277.4,3,Application denied,Female,Asian,70.4,52.1,71.1,16.4,0,0,0,0,0,0,0,0
Conventional,Refinancing,561.8,1,Loan originated,Male,White,125.7,48.7,105.0,26.1,1,1,0,0,0,0,1,1
Conventional,Home purchase,165.3,1,Loan originated,Female,White,48.3,48.9,65.5,29.8,0,1,0,0,0,0,0,1
Conventional,Home purchase,476.0,1,Loan originated,Male,White,125.9,21.3,92.3,9.9,1,1,0,0,0,0,0,1
FHA-insured,Refinancing,328.3,1,Loan originated,Male,White,104.2,43.4,78.2,56.8,1,1,0,0,0,1,1,1
VA-guaranteed,Home purchase,147.0,1,Loan originated,Male,White,58.2,32.6,100.1,37.4,1,1,0,0,0,2,0,1
Conventional,Home purchase,101.6,1,Loan originated,Female,White,31.0,46.8,73.9,50.1,0,1,0,0,0,0,0,1
Conventional,Refinancing,205.5,3,Application denied,Female,Black or African American,66.3,17.2,65.2,74.3,0,0,1,0,0,0,1,0
Conventional,Home purchase,563.5,1,Loan originated,Female,White,138.8,13.2,75.1,49.1,0,1,0,0,0,0,0,1
Conventional,Home purchase,383.1,3,Application denied,Female,White,99.3,36.5,71.2,31.4,0,1,0,0,0,0,0,0
Conventional,Refinancing,212.8,3,Application denied,Female,Black or African American,56.3,35.6,105.0,86.6,0,0,1,0,0,0,1,0
FHA-insured,Home purchase,189.5,3,Application denied,Male,Hispanic or Latino,68.6,57.3,88.5,70.1,1,0,0,1,0,1,0,0
Conventional,Home purchase,183.8,1,Loan originated,Male,White,52.4,32.4,65.2,13.2,1,1,0,0,0,0,0,1
VA-guaranteed,Home purchase,301.2,3,Application denied,Male,Black or African American,89.9,35.5,79.7,48.7,1,0,1,0,0,2,0,0
FSA/RHS-guaranteed,Home purchase,256.6,1,Loan originated,Male,Hispanic or Latino,73.4,54.0,103.5,85.3,1,0,0,1,0,3,0,1
Conventional,Home purchase,152.3,1,Loan originated,Male,White,40.4,38.6,55.0,14.7,1,1,0,0,0,0,0,1
Conventional,Home purchase,287.6,1,Loan originated,Female,White,78.3,49.4,81.5,6.2,0,1,0,0,0,0,0,1
Conventional,Home purchase,411.9,3,Application denied,Male,White,107.0,48.8,105.0,29.5,1,1,0,0,0,0,0,0
VA-guaranteed,Home improvement,365.5,1,Loan originated,Female,White,85.2,51.0,59.8,17.8,0,1,0,0,0,2,2,1
Conventional,Home purchase,53.8,3,Application denied,Female,Hispanic or Latino,15.0,34.6,86.2,77.9,0,0,0,1,0,0,0,0
FHA-insured,Home purchase,330.6,1,Loan originated,Female,Asian,86.6,25.5,85.7,21.0,0,0,0,0,0,1,0,1
Conventional,Home purchase,283.1,1,Loan originated,Male,Asian,98.2,38.0,88.8,31.9,1,0,0,0,0,0,0,1
Conventional,Refinancing,230.8,3,Application denied,Male,White,85.5,30.5,56.4,33.0,1,1,0,0,0,0,1,0
Conventional,Home purchase,330.7,1,Loan originated,Male,Asian,113.6,29.2,73.3,15.0,1,0,0,0,0,0,0,1
VA-guaranteed,Home purchase,168.6,1,Loan originated,Male,Black or African American,53.7,44.3,27.6,54.1,1,0,1,0,0,2,0,1
Conventional,Home purchase,389.1,1,Loan originated,Female,White,111.1,11.3,70.0,9.8,0,1,0,0,0,0,0,1
Conventional,Refinancing,313.4,1,Loan originated,Male,White,104.1,30.7,93.7,50.6,1,1,0,0,0,0,1,1
Conventional,Home purchase,391.5,1,Loan originated,Female,White,87.3,54.5,68.1,30.8,0,1,0,0,0,0,0,1
Conventional,Refinancing,570.8,3,Application denied,Male,White,154.9,40.9,88.2,19.2,1,1,0,0,0,0,1,0
FHA-insured,Home improvement,331.6,1,Loan originated,Female,White,110.4,43.1,78.3,56.0,0,1,0,0,0,1,2,1
FHA-insured,Home purchase,214.3,1,Loan originated,Female,White,85.7,33.5,85.8,33.1,0,1,0,0,0,1,0,1
FHA-insured,Cash-out refinancing,337.9,1,Loan originated,Male,White,107.9,41.5,64.3,8.9,1,1,0,0,0,1,3,1
Conventional,Refinancing,196.1,1,Loan originated,Male,American Indian or Alaska Native,52.7,36.3,90.9,59.6,1,0,0,0,0,0,1,1
FHA-insured,Refinancing,330.4,1,Loan originated,Female,White,86.8,14.9,87.3,20.4,0,1,0,0,0,1,1,1
Conventional,Home improvement,286.8,1,Loan originated,Male,White,96.3,37.1,85.4,27.4,1,1,0,0,0,0,2,1
Conventional,Refinancing,212.5,1,Loan originated,Male,Black or African American,70.9,51.0,75.6,46.7,1,0,1,0,0,0,1,1
Conventional,Refinancing,460.8,1,Loan originated,Male,White,119.5,22.5,76.1,17.2,1,1,0,0,0,0,1,1
Conventional,Refinancing,308.0,1,Loan originated,Female,Hispanic or Latino,116.2,33.5,55.2,82.7,0,0,0,1,0,0,1,1
Conventional,Home purchase,50.0,3,Application denied,Male,Hispanic or Latino,15.0,32.1,41.0,55.3,1,0,0,1,0,0,0,0
Conventional,Home purchase,50.0,3,Application denied,Female,Hispanic or Latino,15.0,51.5,46.9,80.9,0,0,0,1,0,0,0,0
FHA-insured,Home purchase,468.9,1,Loan originated,Male,White,106.6,17.2,66.8,16.0,1,1,0,0,0,1,0,1
Conventional,Cash-out refinancing,295.1,1,Loan originated,Male,White,104.4,23.0,70.6,37.8,1,1,0,0,0,0,3,1
VA-guaranteed,Refinancing,342.1,1,Loan originated,Female,White,106.1,32.9,81.2,11.7,0,1,0,0,0,2,1,1
Conventional,Refinancing,162.1,1,Loan originated,Male,Hispanic or Latino,38.3,44.4,92.1,64.4,1,0,0,1,0,0,1,1
FHA-insured,Home purchase,198.9,1,Loan originated,Male,White,45.7,19.9,83.4,25.6,1,1,0,0,0,1,0,1
Conventional,Refinancing,251.6,1,Loan originated,Female,White,94.5,53.4,66.6,15.6,0,1,0,0,0,0,1,1
Conventional,Home purchase,458.6,3,Application denied,Female,White,141.0,31.8,105.0,23.5,0,1,0,0,0,0,0,0
Conventional,Cash-out refinancing,337.8,1,Loan originated,Female,White,93.9,35.7,95.4,40.5,0,1,0,0,0,0,3,1
FHA-insured,Refinancing,67.1,1,Loan originated,Female,White,16.1,28.8,55.0,26.5,0,1,0,0,0,1,1,1
Conventional,Home purchase,518.7,1,Loan originated,Female,White,135.2,46.5,72.5,39.6,0,1,0,0,0,0,0,1
Conventional,Home purchase,254.3,1,Loan originated,Male,White,93.3,32.0,84.9,58.7,1,1,0,0,0,0,0,1
Conventional,Home purchase,253.3,1,Loan originated,Male,White,57.9,35.4,105.0,12.6,1,1,0,0,0,0,0,1
FHA-insured,Cash-out refinancing,482.1,1,Loan originated,Female,White,149.9,33.5,50.8,40.1,0,1,0,0,0,1,3,1
Conventional,Home purchase,447.9,1,Loan originated,Male,White,104.9,54.1,76.5,30.2,1,1,0,0,0,0,0,1
VA-guaranteed,Refinancing,447.2,1,Loan originated,Female,White,116.5,44.5,54.5,20.5,0,1,0,0,0,2,1,1
FSA/RHS-guaranteed,Home purchase,184.0,1,Loan originated,Male,Black or African American,64.6,39.2,99.9,89.3,1,0,1,0,0,3,0,1
FHA-insured,Refinancing,304.6,1,Loan originated,Female,Black or African American,68.9,45.7,58.8,76.7,0,0,1,0,0,1,1,1
Conventional,Refinancing,217.5,3,Application denied,Female,White,49.0,59.9,77.8,23.4,0,1,0,0,0,0,1,0
FHA-insured,Home purchase,50.0,1,Loan originated,Female,White,15.5,32.1,43.9,20.1,0,1,0,0,0,1,0,1
FHA-insured,Home purchase,275.3,1,Loan originated,Female,Hispanic or Latino,69.0,48.4,92.8,72.6,0,0,0,1,0,1,0,1
Conventional,Refinancing,208.8,1,Loan originated,Male,White,54.5,34.8,104.4,39.6,1,1,0,0,0,0,1,1
Conventional,Refinancing,302.1,1,Loan originated,Female,White,77.0,40.5,92.5,30.8,0,1,0,0,0,0,1,1
Conventional,Home purchase,635.9,1,Loan originated,Male,Asian,144.0,17.0,85.6,56.5,1,0,0,0,0,0,0,1
Conventional,Home purchase,116.6,1,Loan originated,Male,Black or African American,38.3,36.1,79.6,62.7,1,0,1,0,0,0,0,1
Conventional,Home purchase,282.3,3,Application denied,Male,Hispanic or Latino,63.2,45.1,57.1,85.2,1,0,0,1,0,0,0,0
Conventional,Home purchase,327.4,1,Loan originated,Female,White,104.2,40.7,59.6,37.2,0,1,0,0,0,0,0,1
VA-guaranteed,Home purchase,277.2,1,Loan originated,Female,Hispanic or Latino,85.2,23.4,78.7,58.5,0,0,0,1,0,2,0,1
FHA-insured,Home purchase,384.8,1,Loan originated,Male,White,130.8,51.0,80.9,62.8,1,1,0,0,0,1,0,1
Conventional,Refinancing,253.2,3,Application denied,Male,White,80.0,28.5,80.6,29.6,1,1,0,0,0,0,1,0
Conventional,Refinancing,253.9,1,Loan originated,Male,White,86.5,46.7,65.2,16.1,1,1,0,0,0,0,1,1
Conventional,Home purchase,366.6,1,Loan originated,Male,White,118.5,24.3,73.6,59.3,1,1,0,0,0,0,0,1
FHA-insured,Home purchase,240.5,1,Loan originated,Male,White,61.8,34.2,78.6,12.0,1,1,0,0,0,1,0,1
