age,education,education_num,occupation,marital_status,hours_per_week,race,sex,capital_gain_log,capital_loss_log,sex_binary,race_group,income_binary,income,is_married,workclass
28,Some-college,10,Priv-house-serv,Married-civ-spouse,35,White,Male,11.067950001766604,0.0,1,White,1,>50K,1,Private
25,Assoc-voc,11,Other-service,Married-civ-spouse,34,White,Male,0.0,0.0,1,White,0,<=50K,1,Private
18,HS-grad,9,Armed-Forces,Widowed,62,White,Female,0.0,0.0,0,White,0,<=50K,0,Private
27,HS-grad,9,Prof-specialty,Never-married,37,White,Male,11.188855995066058,0.0,1,White,0,<=50K,0,Self-emp-inc
21,Some-college,10,Tech-support,Divorced,31,White,Male,0.0,0.0,1,White,1,>50K,0,Private
47,Assoc-acdm,12,Handlers-cleaners,Never-married,66,White,Male,0.0,0.0,1,White,1,>50K,0,Self-emp-not-inc
32,Bachelors,13,Adm-clerical,Married-civ-spouse,29,White,Male,0.0,0.0,1,White,1,>50K,1,Private
69,Assoc-voc,11,Machine-op-inspct,Married-civ-spouse,44,White,Male,0.0,0.0,1,White,1,>50K,1,Private
60,Bachelors,13,Handlers-cleaners,Never-married,37,White,Male,0.0,0.0,1,White,1,>50K,0,Private
27,HS-grad,9,Sales,Married-civ-spouse,44,White,Female,0.0,0.0,0,White,1,>50K,1,Private
18,Prof-school,15,Craft-repair,Married-civ-spouse,38,White,Female,0.0,0.0,0,White,0,<=50K,1,Private
43,HS-grad,9,Exec-managerial,Divorced,49,White,Male,0.0,0.0,1,White,0,<=50K,0,Private
18,Some-college,10,Craft-repair,Married-civ-spouse,36,White,Male,0.0,8.313607139317558,1,White,0,<=50K,1,Local-gov
55,HS-grad,9,Machine-op-inspct,Divorced,13,White,Male,0.0,0.0,1,White,0,<=50K,0,Private
47,Some-college,10,Handlers-cleaners,Widowed,42,White,Male,0.0,0.0,1,White,0,<=50K,0,Private
58,Bachelors,13,Other-service,Married-civ-spouse,7,White,Female,0.0,0.0,0,White,0,<=50K,1,Private
37,Some-college,10,Adm-clerical,Married-civ-spouse,32,White,Male,0.0,0.0,1,White,0,<=50K,1,Private
22,Assoc-voc,11,Transport-moving,Married-civ-spouse,46,White,Male,0.0,0.0,1,White,1,>50K,1,State-gov
42,HS-grad,9,Adm-clerical,Never-married,31,White,Female,0.0,0.0,0,White,0,<=50K,0,Private
24,HS-grad,9,Adm-clerical,Never-married,69,White,Female,0.0,0.0,0,White,0,<=50K,0,Private
29,HS-grad,9,Sales,Married-civ-spouse,57,White,Female,0.0,0.0,0,White,1,>50K,1,Self-emp-not-inc
40,Some-college,10,Sales,Never-married,61,White,Male,0.0,0.0,1,White,1,>50K,0,Self-emp-not-inc
40,Some-college,10,Prof-specialty,Divorced,43,White,Female,0.0,0.0,0,White,0,<=50K,0,Local-gov
51,HS-grad,9,Other-service,Divorced,45,White,Male,0.0,0.0,1,White,0,<=50K,0,Private
31,Bachelors,13,Craft-repair,Separated,17,White,Male,0.0,0.0,1,White,0,<=50K,0,Private
29,HS-grad,9,Prof-specialty,Married-spouse-absent,30,White,Male,0.0,0.0,1,White,1,>50K,0,Private
23,Bachelors,13,Protective-serv,Never-married,22,Black,Female,0.0,0.0,0,Non-White,0,<=50K,0,Private
22,Some-college,10,Craft-repair,Never-married,42,White,Female,0.0,0.0,0,White,0,<=50K,0,Private
32,HS-grad,9,Prof-specialty,Never-married,43,White,Female,0.0,0.0,0,White,0,<=50K,0,Private
55,HS-grad,9,Prof-specialty,Never-married,32,White,Male,0.0,0.0,1,White,0,<=50K,0,Private
34,Prof-school,15,Exec-managerial,Never-married,83,White,Male,0.0,0.0,1,White,1,>50K,0,Local-gov
39,11th,7,Other-service,Married-civ-spouse,51,White,Female,0.0,0.0,0,White,0,<=50K,1,Self-emp-inc
19,9th,5,Adm-clerical,Separated,39,Black,Male,0.0,0.0,1,Non-White,0,<=50K,0,Self-emp-not-inc
23,Some-college,10,Sales,Married-civ-spouse,52,White,Male,10.926459926995491,0.0,1,White,1,>50K,1,Private
18,HS-grad,9,Tech-support,Never-married,16,White,Female,0.0,0.0,0,White,0,<=50K,0,Private
51,Some-college,10,Handlers-cleaners,Divorced,36,Black,Female,0.0,0.0,0,Non-White,0,<=50K,0,Private
50,HS-grad,9,Farming-fishing,Never-married,55,White,Male,0.0,0.0,1,White,0,<=50K,0,Private
64,Prof-school,15,Prof-specialty,Never-married,44,White,Female,0.0,7.134093721192866,0,White,1,>50K,0,Private
28,HS-grad,9,Machine-op-inspct,Divorced,34,Black,Male,0.0,0.0,1,Non-White,0,<=50K,0,Private
38,Bachelors,13,Exec-managerial,Divorced,39,White,Male,0.0,0.0,1,White,1,>50K,0,Private
46,Some-college,10,Other-service,Never-married,54,White,Male,0.0,0.0,1,White,1,>50K,0,Private
44,Assoc-voc,11,Handlers-cleaners,Divorced,48,White,Female,0.0,0.0,0,White,0,<=50K,0,Private
40,Bachelors,13,Tech-support,Never-married,35,White,Male,0.0,0.0,1,White,0,<=50K,0,Self-emp-not-inc
41,Some-college,10,Exec-managerial,Married-civ-spouse,29,White,Male,0.0,0.0,1,White,1,>50K,1,Private
46,HS-grad,9,Other-service,Married-civ-spouse,34,White,Male,0.0,0.0,1,White,1,>50K,1,Self-emp-inc
30,Prof-school,15,Craft-repair,Never-married,31,White,Male,0.0,0.0,1,White,0,<=50K,0,Private
51,Bachelors,13,Exec-managerial,Married-civ-spouse,17,White,Male,0.0,0.0,1,White,1,>50K,1,Federal-gov
42,Assoc-acdm,12,Adm-clerical,Separated,38,White,Male,0.0,0.0,1,White,1,>50K,0,Self-emp-inc
20,HS-grad,9,Adm-clerical,Never-married,43,White,Male,0.0,0.0,1,White,0,<=50K,0,Federal-gov
26,Assoc-voc,11,Prof-specialty,Married-civ-spouse,37,White,Male,0.0,0.0,1,White,1,>50K,1,Private
66,HS-grad,9,Prof-specialty,Married-civ-spouse,34,Black,Female,0.0,0.0,0,Non-White,0,<=50K,1,Private
20,Some-college,10,Sales,Never-married,58,White,Male,0.0,0.0,1,White,1,>50K,0,Private
29,Assoc-acdm,12,Craft-repair,Never-married,37,Black,Male,0.0,0.0,1,Non-White,1,>50K,0,Private
18,HS-grad,9,Tech-support,Never-married,32,White,Male,11.395019921810109,0.0,1,White,1,>50K,0,Private
28,Bachelors,13,Exec-managerial,Never-married,61,White,Male,0.0,0.0,1,White,1,>50K,0,Private
50,Some-college,10,Machine-op-inspct,Never-married,35,White,Male,10.9032550888181,0.0,1,White,0,<=50K,0,Private
35,HS-grad,9,Exec-managerial,Divorced,29,Black,Female,0.0,0.0,0,Non-White,0,<=50K,0,Private
56,HS-grad,9,Exec-managerial,Divorced,27,White,Male,0.0,0.0,1,White,0,<=50K,0,Private
52,Some-college,10,Handlers-cleaners,Married-spouse-absent,39,White,Male,0.0,0.0,1,White,1,>50K,0,Private
53,HS-grad,9,Transport-moving,Divorced,41,White,Male,0.0,0.0,1,White,1,>50K,0,Private
61,Bachelors,13,Prof-specialty,Married-civ-spouse,37,Other,Male,0.0,0.0,1,Non-White,0,<=50K,1,Private
29,HS-grad,9,Exec-managerial,Never-married,31,White,Female,0.0,0.0,0,White,0,<=50K,0,Private
40,HS-grad,9,Exec-managerial,Married-civ-spouse,54,White,Male,0.0,0.0,1,White,1,>50K,1,State-gov
39,Assoc-acdm,12,Exec-managerial,Never-married,32,White,Female,0.0,0.0,0,White,0,<=50K,0,Private
37,Bachelors,13,Adm-clerical,Never-married,76,White,Male,0.0,0.0,1,White,0,<=50K,0,Private
29,Masters,14,Exec-managerial,Divorced,39,White,Female,0.0,0.0,0,White,0,<=50K,0,Private
42,Bachelors,13,Handlers-cleaners,Never-married,41,White,Male,0.0,0.0,1,White,1,>50K,0,Self-emp-not-inc
36,HS-grad,9,Sales,Married-civ-spouse,26,White,Female,0.0,0.0,0,White,0,<=50K,1,Self-emp-not-inc
43,Bachelors,13,Tech-support,Never-married,42,White,Female,0.0,0.0,0,White,0,<=50K,0,Private
42,Assoc-acdm,12,Protective-serv,Never-married,24,White,Male,0.0,0.0,1,White,1,>50K,0,Self-emp-not-inc
31,Assoc-voc,11,Exec-managerial,Divorced,41,White,Male,0.0,0.0,1,White,0,<=50K,0,Private
32,Bachelors,13,Exec-managerial,Married-civ-spouse,56,White,Male,0.0,0.0,1,White,0,<=50K,1,Private
33,Some-college,10,Farming-fishing,Never-married,49,Asian-Pac-Islander,Male,0.0,0.0,1,Non-White,0,<=50K,0,Local-gov
27,Bachelors,13,Handlers-cleaners,Widowed,28,White,Male,0.0,0.0,1,White,1,>50K,0,Federal-gov
36,Assoc-voc,11,Machine-op-inspct,Widowed,47,Other,Male,0.0,0.0,1,Non-White,0,<=50K,0,Private
34,Some-college,10,Prof-specialty,Never-married,61,White,Male,0.0,0.0,1,White,0,<=50K,0,Without-pay
59,Bachelors,13,Craft-repair,Married-civ-spouse,41,Asian-Pac-Islander,Male,0.0,0.0,1,Non-White,1,>50K,1,Private
47,HS-grad,9,Craft-repair,Never-married,31,Black,Male,0.0,0.0,1,Non-White,0,<=50K,0,Private
56,Bachelors,13,Exec-managerial,Married-civ-spouse,24,White,Male,10.463760267504872,0.0,1,White,1,>50K,1,Private
32,Assoc-acdm,12,Sales,Married-AF-spouse,35,White,Female,0.0,0.0,0,White,0,<=50K,0,Private
18,Some-college,10,Handlers-cleaners,Married-civ-spouse,27,White,Male,0.0,0.0,1,White,1,>50K,1,Private
42,Assoc-acdm,12,Adm-clerical,Divorced,34,White,Male,0.0,0.0,1,White,0,<=50K,0,Private
31,Bachelors,13,Adm-clerical,Never-married,35,White,Male,10.990010390731868,0.0,1,White,0,<=50K,0,Local-gov
46,Some-college,10,Sales,Married-civ-spouse,37,White,Female,0.0,0.0,0,White,0,<=50K,1,Private
19,Bachelors,13,Sales,Never-married,35,White,Male,0.0,0.0,1,White,0,<=50K,0,Private
38,Some-college,10,Sales,Never-married,49,White,Female,0.0,0.0,0,White,1,>50K,0,Federal-gov
38,HS-grad,9,Exec-managerial,Married-civ-spouse,50,White,Male,0.0,0.0,1,White,0,<=50K,1,Private
42,Some-college,10,Adm-clerical,Married-civ-spouse,24,White,Male,0.0,0.0,1,White,0,<=50K,1,Private
29,Assoc-voc,11,Transport-moving,Married-civ-spouse,36,Black,Male,0.0,0.0,1,Non-White,0,<=50K,1,Private
29,Some-college,10,Machine-op-inspct,Married-spouse-absent,27,White,Male,0.0,0.0,1,White,1,>50K,0,State-gov
45,Prof-school,15,Handlers-cleaners,Married-civ-spouse,39,White,Female,0.0,0.0,0,White,1,>50K,1,Private
40,Assoc-acdm,12,Handlers-cleaners,Married-civ-spouse,43,White,Female,0.0,0.0,0,White,1,>50K,1,Private
39,HS-grad,9,Machine-op-inspct,Married-civ-spouse,50,White,Male,0.0,0.0,1,White,0,<=50K,1,Private
52,HS-grad,9,Tech-support,Divorced,25,White,Female,0.0,0.0,0,White,0,<=50K,0,Private
61,HS-grad,9,Machine-op-inspct,Never-married,35,White,Female,0.0,0.0,0,White,0,<=50K,0,Private
62,Bachelors,13,Transport-moving,Never-married,30,White,Male,0.0,0.0,1,White,0,<=50K,0,Private
19,Some-college,10,Exec-managerial,Divorced,42,White,Female,10.963549569921238,0.0,0,White,0,<=50K,0,Private
18,9th,5,Transport-moving,Never-married,71,White,Male,0.0,0.0,1,White,0,<=50K,0,Private
42,Some-college,10,Sales,Married-civ-spouse,46,White,Male,0.0,0.0,1,White,1,>50K,1,Private
34,11th,7,Other-service,Divorced,40,White,Male,11.4048835798745,0.0,1,White,1,>50K,0,Private
18,Some-college,10,Sales,Married-civ-spouse,20,White,Male,10.881719685950468,0.0,1,White,0,<=50K,1,Private
35,Assoc-acdm,12,Prof-specialty,Married-civ-spouse,34,White,Male,8.939318740417509,0.0,1,White,0,<=50K,1,Private
37,Prof-school,15,Tech-support,Married-civ-spouse,26,White,Female,0.0,0.0,0,White,0,<=50K,1,Private
43,Some-college,10,Transport-moving,Never-married,39,White,Female,0.0,0.0,0,White,1,>50K,0,Private
18,11th,7,Exec-managerial,Never-married,43,White,Female,0.0,0.0,0,White,0,<=50K,0,Self-emp-inc
40,HS-grad,9,Transport-moving,Never-married,33,White,Female,11.480019968790666,0.0,0,White,0,<=50K,0,Private
49,Bachelors,13,Machine-op-inspct,Divorced,24,White,Male,0.0,0.0,1,White,1,>50K,0,Private
42,HS-grad,9,Exec-managerial,Married-spouse-absent,46,White,Male,0.0,0.0,1,White,1,>50K,0,Private
40,11th,7,Transport-moving,Never-married,46,White,Male,0.0,0.0,1,White,0,<=50K,0,Private
28,Bachelors,13,Exec-managerial,Divorced,38,White,Female,0.0,0.0,0,White,1,>50K,0,Private
31,HS-grad,9,Sales,Married-civ-spouse,60,White,Male,0.0,0.0,1,White,0,<=50K,1,State-gov
18,Assoc-acdm,12,Craft-repair,Never-married,35,White,Male,0.0,0.0,1,White,0,<=50K,0,Private
31,Bachelors,13,Exec-managerial,Married-civ-spouse,55,White,Female,0.0,0.0,0,White,1,>50K,1,Private
47,HS-grad,9,Prof-specialty,Never-married,20,White,Male,0.0,0.0,1,White,0,<=50K,0,Private
30,Assoc-acdm,12,Sales,Married-civ-spouse,44,White,Male,0.0,0.0,1,White,0,<=50K,1,Local-gov
34,HS-grad,9,Other-service,Married-civ-spouse,59,Black,Male,0.0,0.0,1,Non-White,0,<=50K,1,Private
40,Some-college,10,Other-service,Married-civ-spouse,43,White,Male,0.0,0.0,1,White,0,<=50K,1,Local-gov
41,HS-grad,9,Tech-support,Divorced,52,White,Male,0.0,0.0,1,White,1,>50K,0,Private
25,11th,7,Transport-moving,Married-civ-spouse,29,White,Male,10.351181664862002,0.0,1,White,1,>50K,1,Private
36,Bachelors,13,Craft-repair,Never-married,51,White,Male,0.0,0.0,1,White,0,<=50K,0,Private
40,Assoc-acdm,12,Craft-repair,Divorced,43,White,Male,0.0,8.321907968230423,1,White,0,<=50K,0,Private
30,Some-college,10,Tech-support,Never-married,16,White,Male,0.0,0.0,1,White,1,>50K,0,Private
24,HS-grad,9,Machine-op-inspct,Divorced,35,White,Female,10.75521842971182,0.0,0,White,0,<=50K,0,Private
24,Some-college,10,Adm-clerical,Married-civ-spouse,50,White,Male,11.260867903491375,0.0,1,White,0,<=50K,1,Private
37,12th,8,Prof-specialty,Never-married,69,White,Female,11.098379248125871,0.0,0,White,0,<=50K,0,Private
21,HS-grad,9,Other-service,Never-married,33,White,Male,0.0,0.0,1,White,0,<=50K,0,Private
38,Bachelors,13,Transport-moving,Never-married,49,White,Male,11.425895905997123,0.0,1,White,0,<=50K,0,Private
28,Prof-school,15,Prof-specialty,Married-civ-spouse,39,White,Female,0.0,0.0,0,White,1,>50K,1,Private
49,Prof-school,15,Tech-support,Married-civ-spouse,49,Amer-Indian-Eskimo,Male,0.0,8.214465160759186,1,Non-White,0,<=50K,1,Private
35,HS-grad,9,Protective-serv,Separated,55,White,Male,0.0,0.0,1,White,0,<=50K,0,Private
52,7th-8th,4,Craft-repair,Married-civ-spouse,55,White,Male,0.0,0.0,1,White,0,<=50K,1,Private
42,HS-grad,9,Tech-support,Married-civ-spouse,37,White,Male,0.0,0.0,1,White,0,<=50K,1,Private
24,HS-grad,9,Protective-serv,Married-civ-spouse,50,White,Male,0.0,0.0,1,White,0,<=50K,1,Private
50,Assoc-voc,11,Machine-op-inspct,Married-civ-spouse,23,White,Male,0.0,0.0,1,White,1,>50K,1,Private
40,7th-8th,4,Tech-support,Separated,44,White,Male,0.0,0.0,1,White,1,>50K,0,Self-emp-inc
18,HS-grad,9,Farming-fishing,Married-civ-spouse,30,White,Male,0.0,8.210939733379021,1,White,0,<=50K,1,Private
52,HS-grad,9,Farming-fishing,Never-married,37,White,Male,0.0,0.0,1,White,0,<=50K,0,Self-emp-not-inc
35,Assoc-acdm,12,Prof-specialty,Married-civ-spouse,24,White,Male,9.358587948436384,0.0,1,White,0,<=50K,1,Private
26,9th,5,Protective-serv,Married-civ-spouse,52,White,Male,0.0,0.0,1,White,1,>50K,1,Private
30,Prof-school,15,Exec-managerial,Never-married,37,White,Female,0.0,0.0,0,White,0,<=50K,0,Private
38,Bachelors,13,Craft-repair,Never-married,33,White,Male,0.0,0.0,1,White,1,>50K,0,Private
32,Assoc-voc,11,Machine-op-inspct,Married-civ-spouse,31,Black,Female,0.0,0.0,0,Non-White,0,<=50K,1,Private
41,Some-college,10,Prof-specialty,Married-civ-spouse,43,White,Female,0.0,0.0,0,White,0,<=50K,1,Private
52,9th,5,Prof-specialty,Married-civ-spouse,26,White,Male,0.0,0.0,1,White,1,>50K,1,Self-emp-not-inc
38,9th,5,Craft-repair,Married-civ-spouse,36,White,Male,0.0,0.0,1,White,1,>50K,1,Private
44,Some-college,10,Tech-support,Never-married,50,White,Male,0.0,0.0,1,White,1,>50K,0,Private
26,Some-college,10,Prof-specialty,Married-civ-spouse,46,White,Male,0.0,0.0,1,White,0,<=50K,1,Private
47,Bachelors,13,Craft-repair,Never-married,33,White,Male,0.0,0.0,1,White,1,>50K,0,Private
41,Prof-school,15,Craft-repair,Married-civ-spouse,51,Black,Male,0.0,0.0,1,Non-White,1,>50K,1,Private
41,Bachelors,13,Adm-clerical,Never-married,33,White,Male,0.0,0.0,1,White,1,>50K,0,Private
47,Some-college,10,Craft-repair,Married-civ-spouse,29,Asian-Pac-Islander,Female,10.993782010430737,7.086737934510577,0,Non-White,0,<=50K,1,Local-gov
34,9th,5,Other-service,Never-married,32,White,Male,0.0,0.0,1,White,0,<=50K,0,Private
35,Assoc-voc,11,Adm-clerical,Married-civ-spouse,37,White,Female,0.0,0.0,0,White,0,<=50K,1,Private
