age,workclass,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income,income_binary,sex_binary,race_group,is_married,capital_gain_log,capital_loss_log
30,State-gov,Assoc-acdm,12,Married-civ-spouse,Tech-support,Own-child,Black,Female,85145,0,30,Canada,<=50K,0,0,Non-White,1,11.352122709062593,0.0
34,Local-gov,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,57,United-States,<=50K,0,1,White,0,0.0,0.0
30,Private,Prof-school,15,Never-married,Craft-repair,Own-child,White,Male,0,0,31,United-States,<=50K,0,1,White,0,0.0,0.0
62,Local-gov,HS-grad,9,Married-civ-spouse,Tech-support,Not-in-family,White,Male,0,0,42,Other,>50K,1,1,White,1,0.0,0.0
37,Local-gov,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,648,42,United-States,<=50K,0,1,White,1,0.0,6.47543271670409
24,Private,Assoc-voc,11,Married-civ-spouse,Sales,Husband,White,Male,0,0,31,United-States,<=50K,0,1,White,1,0.0,0.0
48,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,24,United-States,<=50K,0,1,White,1,0.0,0.0
22,Private,HS-grad,9,Never-married,Adm-clerical,Wife,White,Male,0,0,36,United-States,<=50K,0,1,White,0,0.0,0.0
40,Self-emp-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,52440,0,32,United-States,>50K,1,0,White,1,10.86744400710848,0.0
18,Private,Assoc-acdm,12,Never-married,Transport-moving,Own-child,White,Male,0,0,23,United-States,>50K,1,1,White,0,0.0,0.0
20,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Wife,White,Female,0,0,30,United-States,<=50K,0,0,White,1,0.0,0.0
40,Self-emp-inc,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Female,0,0,47,United-States,<=50K,0,0,White,1,0.0,0.0
47,Private,HS-grad,9,Married-civ-spouse,Other-service,Other-relative,White,Male,0,0,29,United-States,>50K,1,1,White,1,0.0,0.0
40,Private,Assoc-voc,11,Never-married,Craft-repair,Husband,White,Male,27698,0,46,Other,<=50K,0,1,White,0,10.229151590440738,0.0
36,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,44,United-States,>50K,1,1,White,1,0.0,0.0
34,Private,11th,7,Never-married,Craft-repair,Unmarried,White,Male,0,0,42,United-States,<=50K,0,1,White,0,0.0,0.0
18,Private,Assoc-voc,11,Never-married,Exec-managerial,Husband,White,Male,0,0,64,United-States,<=50K,0,1,White,0,0.0,0.0
28,Federal-gov,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,30,United-States,<=50K,0,1,Non-White,1,0.0,0.0
32,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Own-child,White,Female,0,0,43,United-States,<=50K,0,0,White,1,0.0,0.0
51,Private,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,38,United-States,>50K,1,1,White,1,0.0,0.0
42,Private,Prof-school,15,Divorced,Craft-repair,Husband,Black,Male,0,0,38,United-States,>50K,1,1,Non-White,0,0.0,0.0
18,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,6,United-States,<=50K,0,1,White,1,0.0,0.0
42,Private,Some-college,10,Never-married,Machine-op-inspct,Other-relative,Black,Male,0,0,30,United-States,<=50K,0,1,Non-White,0,0.0,0.0
32,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Unmarried,White,Male,0,0,32,United-States,<=50K,0,1,White,1,0.0,0.0
29,Private,Bachelors,13,Never-married,Sales,Own-child,White,Female,0,0,38,United-States,<=50K,0,0,White,0,0.0,0.0
45,Private,Prof-school,15,Married-civ-spouse,Machine-op-inspct,Husband,White,Female,0,0,21,Other,>50K,1,0,White,1,0.0,0.0
51,Private,Bachelors,13,Married-spouse-absent,Craft-repair,Husband,White,Male,0,0,36,United-States,<=50K,0,1,White,0,0.0,0.0
50,Private,7th-8th,4,Divorced,Prof-specialty,Husband,Other,Male,0,0,27,United-States,>50K,1,1,Non-White,0,0.0,0.0
27,Private,HS-grad,9,Never-married,Craft-repair,Husband,White,Male,0,0,26,United-States,<=50K,0,1,White,0,0.0,0.0
33,Self-emp-inc,Some-college,10,Married-civ-spouse,Prof-specialty,Own-child,White,Male,0,0,16,India,>50K,1,1,White,1,0.0,0.0
42,Federal-gov,HS-grad,9,Widowed,Prof-specialty,Wife,White,Male,0,0,20,Mexico,>50K,1,1,White,0,0.0,0.0
50,Private,Some-college,10,Divorced,Sales,Own-child,White,Female,0,0,33,United-States,<=50K,0,0,White,0,0.0,0.0
31,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,49,United-States,>50K,1,1,White,1,0.0,0.0
35,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Unmarried,White,Female,0,0,36,United-States,<=50K,0,0,White,1,0.0,0.0
23,Private,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,0,38,Other,>50K,1,1,White,0,0.0,0.0
22,Private,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Male,0,0,43,United-States,<=50K,0,1,White,1,0.0,0.0
48,Private,Bachelors,13,Never-married,Transport-moving,Not-in-family,White,Female,0,0,27,United-States,<=50K,0,0,White,0,0.0,0.0
55,Local-gov,Some-college,10,Never-married,Sales,Wife,White,Male,0,0,24,United-States,>50K,1,1,White,0,0.0,0.0
37,Self-emp-not-inc,Bachelors,13,Divorced,Sales,Husband,White,Male,0,0,42,Other,>50K,1,1,White,0,0.0,0.0
51,Private,Assoc-acdm,12,Never-married,Other-service,Husband,Asian-Pac-Islander,Female,0,0,35,United-States,<=50K,0,0,Non-White,0,0.0,0.0
42,State-gov,Prof-school,15,Married-civ-spouse,Sales,Own-child,White,Female,0,0,46,United-States,<=50K,0,0,White,1,0.0,0.0
29,Private,Some-college,10,Married-civ-spouse,Prof-specialty,Own-child,White,Male,0,0,29,United-States,<=50K,0,1,White,1,0.0,0.0
42,Private,11th,7,Divorced,Handlers-cleaners,Husband,White,Male,0,0,48,United-States,<=50K,0,1,White,0,0.0,0.0
57,Private,HS-grad,9,Married-AF-spouse,Farming-fishing,Own-child,White,Male,0,0,26,United-States,<=50K,0,1,White,0,0.0,0.0
37,Without-pay,HS-grad,9,Divorced,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,>50K,1,1,White,0,0.0,0.0
58,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Own-child,White,Male,89610,0,45,United-States,>50K,1,1,White,1,11.403233359284808,0.0
18,Private,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Female,0,0,27,United-States,>50K,1,0,White,1,0.0,0.0
48,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,89611,0,21,United-States,<=50K,0,1,White,1,11.40324451856682,0.0
39,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Female,0,0,28,Philippines,>50K,1,0,White,1,0.0,0.0
34,Federal-gov,HS-grad,9,Never-married,Transport-moving,Husband,White,Female,0,0,36,United-States,<=50K,0,0,White,0,0.0,0.0
39,Local-gov,HS-grad,9,Never-married,Other-service,Husband,White,Male,0,371,34,United-States,>50K,1,1,White,0,0.0,5.918893854273146
18,Self-emp-inc,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Female,0,0,53,United-States,<=50K,0,0,White,1,0.0,0.0
35,Private,HS-grad,9,Divorced,Other-service,Not-in-family,White,Male,0,0,28,United-States,>50K,1,1,White,0,0.0,0.0
42,Private,HS-grad,9,Never-married,Prof-specialty,Husband,White,Male,0,0,51,United-States,<=50K,0,1,White,0,0.0,0.0
57,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,49,United-States,<=50K,0,1,White,1,0.0,0.0
31,Private,9th,5,Never-married,Other-service,Not-in-family,White,Male,0,0,36,United-States,<=50K,0,1,White,0,0.0,0.0
27,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,17,United-States,<=50K,0,1,White,1,0.0,0.0
31,Self-emp-inc,HS-grad,9,Married-civ-spouse,Prof-specialty,Wife,Black,Female,0,0,28,United-States,<=50K,0,0,Non-White,1,0.0,0.0
49,Private,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Female,0,0,48,United-States,<=50K,0,0,White,1,0.0,0.0
42,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,36,United-States,<=50K,0,1,Non-White,1,0.0,0.0
31,Private,Bachelors,13,Divorced,Sales,Other-relative,White,Female,0,0,52,United-States,<=50K,0,0,White,0,0.0,0.0
44,Private,9th,5,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,0,0,37,United-States,<=50K,0,1,White,1,0.0,0.0
39,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Own-child,White,Male,0,0,24,United-States,<=50K,0,1,White,1,0.0,0.0
50,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K,1,1,White,1,0.0,0.0
28,Private,Bachelors,13,Never-married,Exec-managerial,Husband,White,Male,0,0,61,United-States,>50K,1,1,White,0,0.0,0.0
33,Private,HS-grad,9,Married-civ-spouse,Tech-support,Not-in-family,White,Female,71713,0,31,United-States,<=50K,0,0,White,1,11.180441265546872,0.0
32,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,56,United-States,<=50K,0,1,White,1,0.0,0.0
18,Private,7th-8th,4,Married-civ-spouse,Exec-managerial,Own-child,White,Male,74987,699,69,Other,<=50K,0,1,White,1,11.225083379717082,6.551080335043404
41,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Female,0,0,29,United-States,<=50K,0,0,White,1,0.0,0.0
41,Private,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,Amer-Indian-Eskimo,Male,0,1607,19,United-States,<=50K,0,1,Non-White,1,0.0,7.382746449738912
38,State-gov,Assoc-voc,11,Never-married,Sales,Own-child,White,Male,0,0,26,Mexico,>50K,1,1,White,0,0.0,0.0
34,Private,11th,7,Married-civ-spouse,Sales,Husband,White,Male,0,0,27,United-States,<=50K,0,1,White,1,0.0,0.0
19,Self-emp-not-inc,Some-college,10,Never-married,Craft-repair,Wife,White,Male,0,0,31,United-States,<=50K,0,1,White,0,0.0,0.0
32,Federal-gov,HS-grad,9,Divorced,Prof-specialty,Husband,White,Male,0,0,40,Other,<=50K,0,1,White,0,0.0,0.0
33,Private,HS-grad,9,Never-married,Tech-support,Own-child,White,Male,0,3887,15,United-States,<=50K,0,1,White,0,0.0,8.265650165580329
27,Private,Masters,14,Married-civ-spouse,Other-service,Husband,White,Male,20203,0,37,United-States,>50K,1,1,White,1,9.913635883587943,0.0
35,Self-emp-inc,12th,8,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,0,0,45,United-States,>50K,1,1,White,1,0.0,0.0
43,Private,9th,5,Married-civ-spouse,Exec-managerial,Unmarried,White,Female,0,0,39,United-States,<=50K,0,0,White,1,0.0,0.0
62,Private,Some-college,10,Married-civ-spouse,Craft-repair,Other-relative,White,Male,0,0,47,United-States,>50K,1,1,White,1,0.0,0.0
40,Private,11th,7,Never-married,Handlers-cleaners,Unmarried,White,Male,0,0,44,United-States,<=50K,0,1,White,0,0.0,0.0
41,Self-emp-not-inc,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Own-child,White,Male,0,0,57,United-States,<=50K,0,1,White,1,0.0,0.0
37,Private,Prof-school,15,Never-married,Exec-managerial,Husband,White,Male,31215,1875,29,United-States,>50K,1,1,White,0,10.348686062862892,7.53689712956617
18,Local-gov,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Female,0,0,68,United-States,<=50K,0,0,White,1,0.0,0.0
37,Self-emp-not-inc,Prof-school,15,Divorced,Craft-repair,Husband,White,Male,0,0,29,United-States,<=50K,0,1,White,0,0.0,0.0
38,Private,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,27,United-States,<=50K,0,1,Non-White,1,0.0,0.0
70,Private,Bachelors,13,Divorced,Priv-house-serv,Not-in-family,White,Male,0,0,37,United-States,<=50K,0,1,White,0,0.0,0.0
35,Private,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Female,0,0,41,United-States,<=50K,0,0,White,1,0.0,0.0
41,Private,Some-college,10,Married-civ-spouse,Prof-specialty,Wife,White,Male,0,0,42,United-States,>50K,1,1,White,1,0.0,0.0
37,Private,Some-college,10,Divorced,Adm-clerical,Husband,White,Male,0,0,54,United-States,>50K,1,1,White,0,0.0,0.0
22,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Prof-specialty,Not-in-family,White,Female,0,0,64,United-States,<=50K,0,0,White,1,0.0,0.0
52,Private,HS-grad,9,Never-married,Sales,Unmarried,White,Male,0,0,43,United-States,<=50K,0,1,White,0,0.0,0.0
47,Private,Some-college,10,Never-married,Machine-op-inspct,Wife,White,Male,0,0,61,United-States,<=50K,0,1,White,0,0.0,0.0
48,Private,Some-college,10,Never-married,Exec-managerial,Unmarried,White,Male,0,0,53,United-States,<=50K,0,1,White,0,0.0,0.0
26,Private,Assoc-acdm,12,Never-married,Sales,Not-in-family,White,Male,0,0,15,United-States,>50K,1,1,White,0,0.0,0.0
56,Private,7th-8th,4,Married-civ-spouse,Sales,Not-in-family,White,Male,0,0,46,United-States,<=50K,0,1,White,1,0.0,0.0
19,Private,HS-grad,9,Divorced,Sales,Husband,White,Male,0,0,13,United-States,>50K,1,1,White,0,0.0,0.0
45,Private,Bachelors,13,Never-married,Tech-support,Husband,White,Male,0,0,52,India,<=50K,0,1,White,0,0.0,0.0
66,Private,Some-college,10,Married-civ-spouse,Craft-repair,Own-child,White,Male,0,0,46,United-States,>50K,1,1,White,1,0.0,0.0
25,Private,Bachelors,13,Never-married,Prof-specialty,Husband,White,Male,0,0,51,United-States,>50K,1,1,White,0,0.0,0.0
30,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Female,0,0,22,United-States,<=50K,0,0,White,1,0.0,0.0
39,Private,9th,5,Divorced,Transport-moving,Husband,Asian-Pac-Islander,Male,0,0,46,United-States,<=50K,0,1,Non-White,0,0.0,0.0
31,Without-pay,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,43,United-States,<=50K,0,1,White,1,0.0,0.0
18,Federal-gov,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,32,United-States,<=50K,0,1,White,1,0.0,0.0
38,Private,Assoc-voc,11,Married-AF-spouse,Tech-support,Husband,White,Male,0,0,43,United-States,>50K,1,1,White,0,0.0,0.0
24,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Not-in-family,White,Female,23217,0,29,United-States,>50K,1,0,White,1,10.052683118897981,0.0
44,Private,Assoc-voc,11,Never-married,Exec-managerial,Own-child,White,Female,0,0,32,United-States,<=50K,0,0,White,0,0.0,0.0
26,Private,HS-grad,9,Never-married,Machine-op-inspct,Wife,White,Female,0,0,51,United-States,<=50K,0,0,White,0,0.0,0.0
58,Private,Prof-school,15,Widowed,Exec-managerial,Own-child,White,Female,0,0,38,United-States,>50K,1,0,White,0,0.0,0.0
27,Private,9th,5,Widowed,Exec-managerial,Unmarried,Black,Female,0,0,42,United-States,>50K,1,0,Non-White,0,0.0,0.0
33,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,White,Male,0,0,40,United-States,<=50K,0,1,White,1,0.0,0.0
48,Private,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,44,United-States,<=50K,0,1,White,1,0.0,0.0
21,Private,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K,1,1,White,1,0.0,0.0
40,Private,HS-grad,9,Never-married,Machine-op-inspct,Husband,White,Female,0,0,14,United-States,<=50K,0,0,White,0,0.0,0.0
54,Self-emp-not-inc,Masters,14,Married-civ-spouse,Adm-clerical,Own-child,White,Male,0,0,29,United-States,<=50K,0,1,White,1,0.0,0.0
18,Private,11th,7,Married-civ-spouse,Other-service,Unmarried,White,Male,0,0,32,Mexico,>50K,1,1,White,1,0.0,0.0
40,Private,Some-college,10,Married-civ-spouse,Other-service,Unmarried,Black,Male,0,0,17,United-States,<=50K,0,1,Non-White,1,0.0,0.0
41,Private,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,>50K,1,0,White,0,0.0,0.0
48,Self-emp-not-inc,HS-grad,9,Widowed,Handlers-cleaners,Not-in-family,White,Female,0,0,29,United-States,>50K,1,0,White,0,0.0,0.0
21,Private,11th,7,Never-married,Craft-repair,Own-child,White,Male,0,0,27,United-States,<=50K,0,1,White,0,0.0,0.0
20,Private,HS-grad,9,Divorced,Craft-repair,Own-child,White,Male,0,0,15,United-States,<=50K,0,1,White,0,0.0,0.0
44,State-gov,Prof-school,15,Married-civ-spouse,Adm-clerical,Not-in-family,White,Male,0,0,34,United-States,<=50K,0,1,White,1,0.0,0.0
41,Private,Some-college,10,Married-civ-spouse,Armed-Forces,Other-relative,Black,Female,72605,0,42,United-States,<=50K,0,0,Non-White,1,11.192802842026108,0.0
41,Local-gov,9th,5,Married-civ-spouse,Other-service,Husband,White,Female,0,0,40,United-States,<=50K,0,0,White,1,0.0,0.0
42,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Own-child,Black,Male,0,0,46,United-States,<=50K,0,1,Non-White,1,0.0,0.0
29,Private,HS-grad,9,Separated,Craft-repair,Other-relative,White,Female,0,0,34,United-States,<=50K,0,0,White,0,0.0,0.0
41,Private,Bachelors,13,Never-married,Prof-specialty,Unmarried,White,Male,0,0,50,United-States,>50K,1,1,White,0,0.0,0.0
41,Private,Prof-school,15,Divorced,Machine-op-inspct,Own-child,White,Male,0,0,47,United-States,>50K,1,1,White,0,0.0,0.0
28,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Own-child,White,Female,0,0,36,United-States,<=50K,0,0,White,1,0.0,0.0
62,Local-gov,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,36,United-States,>50K,1,1,White,1,0.0,0.0
44,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,62,United-States,>50K,1,1,White,1,0.0,0.0
22,Private,Assoc-voc,11,Never-married,Other-service,Own-child,Other,Male,0,0,33,United-States,<=50K,0,1,Non-White,0,0.0,0.0
46,Self-emp-not-inc,HS-grad,9,Never-married,Craft-repair,Own-child,Black,Male,0,0,60,Other,<=50K,0,1,Non-White,0,0.0,0.0
25,Private,Assoc-voc,11,Never-married,Other-service,Husband,White,Female,0,0,48,United-States,<=50K,0,0,White,0,0.0,0.0
48,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Unmarried,Black,Female,0,0,28,United-States,<=50K,0,0,Non-White,1,0.0,0.0
53,Private,9th,5,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,39,United-States,<=50K,0,1,White,1,0.0,0.0
27,Self-emp-not-inc,11th,7,Married-civ-spouse,Prof-specialty,Husband,White,Female,0,0,33,United-States,>50K,1,0,White,1,0.0,0.0
50,Private,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Not-in-family,White,Male,0,0,30,United-States,>50K,1,1,White,1,0.0,0.0
43,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Priv-house-serv,Husband,White,Male,0,0,39,United-States,<=50K,0,1,White,1,0.0,0.0
48,Private,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Female,0,0,30,Other,<=50K,0,0,White,1,0.0,0.0
62,Private,Bachelors,13,Married-civ-spouse,Other-service,Unmarried,White,Female,0,0,29,United-States,>50K,1,0,White,1,0.0,0.0
34,Private,Some-college,10,Married-civ-spouse,Other-service,Own-child,White,Male,0,0,40,United-States,>50K,1,1,White,1,0.0,0.0
28,Private,Some-college,10,Never-married,Prof-specialty,Husband,White,Female,0,0,51,United-States,<=50K,0,0,White,0,0.0,0.0
26,Private,Some-college,10,Married-civ-spouse,Transport-moving,Wife,White,Male,0,0,35,United-States,<=50K,0,1,White,1,0.0,0.0
27,Private,Bachelors,13,Never-married,Craft-repair,Unmarried,White,Male,0,0,41,United-States,<=50K,0,1,White,0,0.0,0.0
36,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,19241,0,41,United-States,<=50K,0,1,White,1,9.86485066892121,0.0
42,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Prof-specialty,Other-relative,Black,Male,0,0,28,United-States,<=50K,0,1,Non-White,1,0.0,0.0
41,Private,Some-college,10,Divorced,Craft-repair,Own-child,White,Male,0,0,55,Mexico,<=50K,0,1,White,0,0.0,0.0
48,Private,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,34,United-States,<=50K,0,1,White,0,0.0,0.0
38,Private,Prof-school,15,Married-civ-spouse,Craft-repair,Unmarried,Asian-Pac-Islander,Male,0,0,31,Other,>50K,1,1,Non-White,1,0.0,0.0
56,Private,Assoc-acdm,12,Never-married,Exec-managerial,Wife,White,Male,0,0,54,United-States,<=50K,0,1,White,0,0.0,0.0
34,Private,Some-college,10,Married-civ-spouse,Craft-repair,Unmarried,Asian-Pac-Islander,Male,0,0,43,United-States,>50K,1,1,Non-White,1,0.0,0.0
73,Private,HS-grad,9,Separated,Exec-managerial,Not-in-family,White,Female,0,0,50,United-States,<=50K,0,0,White,0,0.0,0.0
46,Local-gov,Bachelors,13,Never-married,Exec-managerial,Unmarried,White,Male,0,0,28,United-States,>50K,1,1,White,0,0.0,0.0
26,Private,9th,5,Married-civ-spouse,Transport-moving,Wife,White,Male,0,0,62,United-States,<=50K,0,1,White,1,0.0,0.0
24,Private,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,24,United-States,<=50K,0,1,White,1,0.0,0.0
44,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Unmarried,Black,Male,0,0,49,United-States,<=50K,0,1,Non-White,1,0.0,0.0
35,Private,Bachelors,13,Never-married,Prof-specialty,Husband,White,Male,99276,0,47,United-States,>50K,1,1,White,0,11.50566920185545,0.0
47,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,37,United-States,>50K,1,1,White,1,0.0,0.0
44,Private,Bachelors,13,Widowed,Prof-specialty,Husband,White,Male,95624,2495,50,United-States,>50K,1,1,White,0,11.468189571128837,7.822444729489319
37,Private,Some-college,10,Married-civ-spouse,Transport-moving,Wife,White,Male,0,0,22,United-States,<=50K,0,1,White,1,0.0,0.0
26,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Female,0,2530,39,United-States,>50K,1,0,White,1,0.0,7.836369760545124
18,Federal-gov,Some-college,10,Divorced,Sales,Own-child,White,Female,0,0,50,United-States,>50K,1,0,White,0,0.0,0.0
32,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,52,United-States,<=50K,0,1,White,1,0.0,0.0
49,Private,Bachelors,13,Never-married,Sales,Not-in-family,White,Female,0,0,50,United-States,>50K,1,0,White,0,0.0,0.0
40,Private,Some-college,10,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,13,United-States,<=50K,0,0,White,0,0.0,0.0
21,Federal-gov,Assoc-voc,11,Never-married,Adm-clerical,Husband,White,Male,0,0,49,United-States,<=50K,0,1,White,0,0.0,0.0
