loan_type,loan_purpose,owner_occupancy,loan_amount_000s,action_taken,action_taken_name,property_type,lien_status,applicant_sex,applicant_race_1,applicant_income_000s,county_code,census_tract_minority_pct,debt_to_income_ratio,combined_loan_to_value,hoepa_status,sex_binary,race_white,race_black,race_hispanic,hoepa_binary,loan_type_code,loan_purpose_code
Conventional,Home purchase,Not owner-occupied,361.3,3,Application denied,One-to-four family dwelling (other than manufactured housing),Junior lien,Female,Black or African American,82.5,1,88.0,54.9,73.4,Not applicable,0,0,1,0,0,0,0
Conventional,Home purchase,Owner-occupied as a principal dwelling,198.8,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,Hispanic or Latino,70.2,5,73.3,31.5,27.2,Not applicable,1,0,0,1,0,0,0
Conventional,Refinancing,Owner-occupied as a principal dwelling,276.4,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,Hispanic or Latino,92.9,19,59.2,41.1,95.7,Not applicable,1,0,0,1,0,0,1
Conventional,Refinancing,Owner-occupied as a principal dwelling,137.8,5,File closed for incompleteness,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,52.8,1,21.1,12.1,55.9,Not applicable,1,1,0,0,0,0,1
Conventional,Refinancing,Owner-occupied as a principal dwelling,341.3,1,Loan originated,Multifamily dwelling,Junior lien,Male,White,76.5,17,28.6,49.9,63.0,Not applicable,1,1,0,0,0,0,1
FHA-insured,Home improvement,Owner-occupied as a principal dwelling,338.1,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,Asian,91.5,7,16.0,25.2,69.9,Not applicable,1,0,0,0,0,1,2
Conventional,Home purchase,Owner-occupied as a principal dwelling,424.8,4,Application withdrawn by applicant,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,98.4,1,13.9,27.0,92.3,Not applicable,1,1,0,0,0,0,0
FHA-insured,Home purchase,Owner-occupied as a principal dwelling,310.5,3,Application denied,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,85.7,19,36.8,31.6,74.0,Not applicable,1,1,0,0,0,1,0
Conventional,Refinancing,Owner-occupied as a principal dwelling,396.2,1,Loan originated,Multifamily dwelling,First lien,Male,White,92.7,15,13.4,32.9,55.6,Not applicable,1,1,0,0,0,0,1
Conventional,Refinancing,Owner-occupied as a principal dwelling,308.0,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,White,102.1,9,31.6,29.9,51.3,Not a HOEPA loan,0,1,0,0,0,0,1
Conventional,Home purchase,Not owner-occupied,284.6,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,76.1,11,20.2,24.8,97.0,Not applicable,1,1,0,0,0,0,0
FHA-insured,Home purchase,Owner-occupied as a principal dwelling,356.5,3,Application denied,One-to-four family dwelling (other than manufactured housing),First lien,Female,White,83.9,3,36.5,51.1,69.1,Not applicable,0,1,0,0,0,1,0
Conventional,Refinancing,Owner-occupied as a principal dwelling,140.4,2,Application approved but not accepted,One-to-four family dwelling (other than manufactured housing),Not applicable,Female,Hispanic or Latino,46.9,3,63.4,35.5,83.5,Not applicable,0,0,0,1,0,0,1
Conventional,Refinancing,Owner-occupied as a principal dwelling,219.0,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,White,83.0,13,19.0,56.1,63.3,Not applicable,0,1,0,0,0,0,1
Conventional,Home purchase,Owner-occupied as a principal dwelling,275.0,1,Loan originated,Manufactured housing,First lien,Male,White,106.8,17,14.2,30.7,65.3,Not applicable,1,1,0,0,0,0,0
Conventional,Refinancing,Owner-occupied as a principal dwelling,224.8,3,Application denied,Manufactured housing,First lien,Male,Hispanic or Latino,86.1,17,79.4,51.9,61.2,Not applicable,1,0,0,1,0,0,1
VA-guaranteed,Refinancing,Owner-occupied as a principal dwelling,379.3,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,Asian,90.9,13,30.0,31.8,87.2,Not applicable,1,0,0,0,0,2,1
FHA-insured,Home purchase,Owner-occupied as a principal dwelling,293.7,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,74.0,9,16.3,33.7,88.1,Not a HOEPA loan,1,1,0,0,0,1,0
FSA/RHS-guaranteed,Home purchase,Owner-occupied as a principal dwelling,679.2,2,Application approved but not accepted,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,153.6,1,15.5,15.7,80.9,Not applicable,1,1,0,0,0,3,0
Conventional,Refinancing,Owner-occupied as a principal dwelling,50.0,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,Black or African American,15.3,5,87.9,28.6,84.7,Not applicable,0,0,1,0,0,0,1
Conventional,Refinancing,Not owner-occupied,303.3,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,Black or African American,68.8,15,47.4,41.7,71.7,Not applicable,0,0,1,0,0,0,1
Conventional,Refinancing,Owner-occupied as a principal dwelling,267.3,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,95.6,11,38.1,41.6,102.1,Not applicable,1,1,0,0,0,0,1
Conventional,Home improvement,Owner-occupied as a principal dwelling,241.0,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,White,55.9,19,34.9,25.9,104.7,Not applicable,0,1,0,0,0,0,2
FHA-insured,Refinancing,Owner-occupied as a principal dwelling,465.2,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,150.2,1,7.3,18.9,86.2,Not applicable,1,1,0,0,0,1,1
Conventional,Home purchase,Owner-occupied as a principal dwelling,319.8,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,Hispanic or Latino,81.0,9,75.4,24.8,70.4,Not applicable,0,0,0,1,0,0,0
Conventional,Home improvement,Owner-occupied as a principal dwelling,286.1,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,Hispanic or Latino,73.2,13,69.0,27.5,68.7,Not applicable,1,0,0,1,0,0,2
Conventional,Refinancing,Owner-occupied as a principal dwelling,92.2,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,Asian,33.5,17,51.7,20.1,89.3,Not applicable,1,0,0,0,0,0,1
Conventional,Home purchase,Owner-occupied as a principal dwelling,635.3,3,Application denied,Multifamily dwelling,First lien,Male,White,141.8,5,23.3,45.9,93.9,Not applicable,1,1,0,0,0,0,0
Conventional,Home purchase,Owner-occupied as a principal dwelling,505.5,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,White,116.0,3,27.3,34.5,84.0,Not applicable,0,1,0,0,0,0,0
Conventional,Refinancing,Owner-occupied as a principal dwelling,333.0,3,Application denied,One-to-four family dwelling (other than manufactured housing),Junior lien,Male,White,77.1,13,31.0,51.6,57.5,Not applicable,1,1,0,0,0,0,1
Conventional,Home purchase,Not owner-occupied,372.0,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,Asian,128.0,5,36.4,38.2,97.1,Not applicable,1,0,0,0,0,0,0
Conventional,Refinancing,Owner-occupied as a principal dwelling,186.7,5,File closed for incompleteness,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,74.6,3,12.1,27.0,94.8,Not applicable,1,1,0,0,0,0,1
Conventional,Home purchase,Owner-occupied as a principal dwelling,214.0,2,Application approved but not accepted,One-to-four family dwelling (other than manufactured housing),First lien,Female,White,63.6,17,21.2,35.5,95.3,Not applicable,0,1,0,0,0,0,0
Conventional,Refinancing,Owner-occupied as a principal dwelling,256.8,1,Loan originated,One-to-four family dwelling (other than manufactured housing),Junior lien,Male,White,80.2,3,18.9,25.8,72.5,Not applicable,1,1,0,0,0,0,1
Conventional,Refinancing,Owner-occupied as a principal dwelling,366.0,4,Application withdrawn by applicant,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,85.5,11,39.2,39.8,68.3,Not applicable,1,1,0,0,0,0,1
FHA-insured,Home purchase,Owner-occupied as a principal dwelling,274.5,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,Asian,67.1,1,9.6,36.6,75.0,Not applicable,0,0,0,0,0,1,0
VA-guaranteed,Home purchase,Owner-occupied as a principal dwelling,144.7,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,48.1,19,11.4,25.9,62.7,Not applicable,1,1,0,0,0,2,0
VA-guaranteed,Home purchase,Owner-occupied as a principal dwelling,171.2,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,45.8,7,33.2,30.4,85.9,Not a HOEPA loan,1,1,0,0,0,2,0
FSA/RHS-guaranteed,Home purchase,Owner-occupied as a principal dwelling,263.8,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,80.2,9,35.4,22.1,80.9,Not a HOEPA loan,1,1,0,0,0,3,0
Conventional,Refinancing,Owner-occupied as a principal dwelling,439.9,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,Black or African American,99.6,1,78.2,49.2,94.5,Not applicable,1,0,1,0,0,0,1
FHA-insured,Home improvement,Owner-occupied as a principal dwelling,294.6,1,Loan originated,Manufactured housing,First lien,Female,Hispanic or Latino,94.4,1,80.4,43.4,86.0,Not applicable,0,0,0,1,0,1,2
FHA-insured,Home purchase,Owner-occupied as a principal dwelling,173.5,5,File closed for incompleteness,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,48.2,3,37.1,47.6,61.9,Not applicable,1,1,0,0,0,1,0
Conventional,Home purchase,Owner-occupied as a principal dwelling,563.5,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,White,138.8,3,49.1,13.2,75.1,Not applicable,0,1,0,0,0,0,0
Conventional,Refinancing,Owner-occupied as a principal dwelling,202.8,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,64.3,7,27.5,10.0,85.5,Not applicable,1,1,0,0,0,0,1
FHA-insured,Refinancing,Not owner-occupied,286.5,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,White,69.5,1,64.3,36.0,71.3,Not applicable,0,1,0,0,0,1,1
Conventional,Cash-out refinancing,Owner-occupied as a principal dwelling,150.7,1,Loan originated,One-to-four family dwelling (other than manufactured housing),Not applicable,Male,White,49.9,3,14.4,28.7,61.2,Not a HOEPA loan,1,1,0,0,0,0,3
Conventional,Refinancing,Owner-occupied as a principal dwelling,567.4,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,White,161.1,9,37.4,35.9,105.0,Not applicable,0,1,0,0,0,0,1
VA-guaranteed,Refinancing,Owner-occupied as a principal dwelling,277.3,1,Loan originated,Multifamily dwelling,First lien,Male,White,98.8,3,12.9,17.5,90.2,Not applicable,1,1,0,0,0,2,1
Conventional,Home purchase,Owner-occupied as a principal dwelling,255.0,5,File closed for incompleteness,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,80.7,17,21.5,35.5,77.2,Not applicable,1,1,0,0,0,0,0
Conventional,Refinancing,Not owner-occupied,433.7,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,114.5,5,21.4,36.6,86.7,Not applicable,1,1,0,0,0,0,1
Conventional,Refinancing,Owner-occupied as a principal dwelling,220.9,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,White,72.2,1,10.2,30.8,81.3,Not applicable,0,1,0,0,0,0,1
Conventional,Home purchase,Not owner-occupied,188.5,3,Application denied,Manufactured housing,First lien,Male,Black or African American,64.4,13,60.1,46.5,94.3,Not applicable,1,0,1,0,0,0,0
Conventional,Home purchase,Owner-occupied as a principal dwelling,335.2,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,81.8,5,26.9,46.1,94.8,Not applicable,1,1,0,0,0,0,0
FHA-insured,Home purchase,Owner-occupied as a principal dwelling,295.5,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,Black or African American,83.2,19,57.7,63.1,86.4,Not applicable,1,0,1,0,0,1,0
Conventional,Cash-out refinancing,Owner-occupied as a principal dwelling,66.8,3,Application denied,Multifamily dwelling,First lien,Male,Hispanic or Latino,16.3,11,73.7,48.0,105.0,Not applicable,1,0,0,1,0,0,3
Conventional,Home purchase,Not owner-occupied,190.3,3,Application denied,One-to-four family dwelling (other than manufactured housing),First lien,Male,Hispanic or Latino,43.0,1,84.5,44.4,78.9,Not applicable,1,0,0,1,0,0,0
VA-guaranteed,Home purchase,Owner-occupied as a principal dwelling,399.0,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,American Indian or Alaska Native,101.1,9,11.3,46.5,103.3,Not applicable,1,0,0,0,0,2,0
FSA/RHS-guaranteed,Refinancing,Owner-occupied as a principal dwelling,100.3,3,Application denied,One-to-four family dwelling (other than manufactured housing),First lien,Female,Black or African American,34.5,7,72.2,39.7,72.7,Not applicable,0,0,1,0,0,3,1
Conventional,Home purchase,Owner-occupied as a principal dwelling,489.4,2,Application approved but not accepted,One-to-four family dwelling (other than manufactured housing),Junior lien,Male,Asian,113.2,5,53.2,47.0,96.7,Not applicable,1,0,0,0,0,0,0
FHA-insured,Home purchase,Owner-occupied as a principal dwelling,486.2,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,115.9,1,51.8,40.4,69.3,Not applicable,1,1,0,0,0,1,0
Conventional,Refinancing,Not owner-occupied,531.6,3,Application denied,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,141.3,7,8.9,47.5,58.6,Not applicable,1,1,0,0,0,0,1
Conventional,Home improvement,Owner-occupied as a principal dwelling,543.2,3,Application denied,One-to-four family dwelling (other than manufactured housing),Junior lien,Male,White,134.7,1,19.7,45.2,85.6,Not applicable,1,1,0,0,0,0,2
Conventional,Home improvement,Owner-occupied as a principal dwelling,192.2,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,Black or African American,53.9,19,90.8,38.2,82.9,Not applicable,0,0,1,0,0,0,2
Conventional,Home purchase,Owner-occupied as a principal dwelling,117.6,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,39.9,13,20.6,23.3,90.6,Not a HOEPA loan,1,1,0,0,0,0,0
Conventional,Home purchase,Not applicable,359.0,1,Loan originated,One-to-four family dwelling (other than manufactured housing),Not secured,Female,White,86.2,1,3.5,34.6,76.3,Not applicable,0,1,0,0,0,0,0
Conventional,Refinancing,Owner-occupied as a principal dwelling,89.7,3,Application denied,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,35.0,13,40.2,35.8,77.0,Not applicable,1,1,0,0,0,0,1
Conventional,Cash-out refinancing,Owner-occupied as a principal dwelling,649.0,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,White,152.3,3,43.7,41.8,95.8,Not a HOEPA loan,0,1,0,0,0,0,3
Conventional,Home purchase,Owner-occupied as a principal dwelling,354.7,1,Loan originated,Multifamily dwelling,First lien,Male,White,85.6,3,22.9,39.5,68.5,Not applicable,1,1,0,0,0,0,0
Conventional,Home purchase,Owner-occupied as a principal dwelling,347.2,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,111.6,5,44.8,47.0,76.2,Not applicable,1,1,0,0,0,0,0
Conventional,Home purchase,Owner-occupied as a principal dwelling,241.0,4,Application withdrawn by applicant,One-to-four family dwelling (other than manufactured housing),First lien,Male,American Indian or Alaska Native,84.8,1,31.4,32.8,43.7,Not applicable,1,0,0,0,0,0,0
Conventional,Home purchase,Owner-occupied as a principal dwelling,267.2,4,Application withdrawn by applicant,One-to-four family dwelling (other than manufactured housing),Junior lien,Male,Hispanic or Latino,77.2,3,85.0,31.9,105.0,Not applicable,1,0,0,1,0,0,0
Conventional,Refinancing,Owner-occupied as a principal dwelling,208.8,1,Loan originated,Multifamily dwelling,First lien,Male,White,54.5,19,39.6,34.8,104.4,Not applicable,1,1,0,0,0,0,1
Conventional,Home purchase,Not owner-occupied,131.1,3,Application denied,One-to-four family dwelling (other than manufactured housing),First lien,Male,Black or African American,50.0,13,76.2,54.3,101.8,Not applicable,1,0,1,0,0,0,0
FHA-insured,Home improvement,Owner-occupied as a principal dwelling,340.0,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,113.1,5,5.1,30.8,105.0,Not applicable,1,1,0,0,0,1,2
Conventional,Home purchase,Not owner-occupied,191.0,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,68.1,11,24.0,38.1,105.0,Not applicable,1,1,0,0,0,0,0
FHA-insured,Home purchase,Owner-occupied as a principal dwelling,204.1,4,Application withdrawn by applicant,One-to-four family dwelling (other than manufactured housing),First lien,Female,Hispanic or Latino,73.5,3,94.7,41.8,61.7,Not applicable,0,0,0,1,0,1,0
Conventional,Refinancing,Owner-occupied as a principal dwelling,499.3,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,117.2,3,42.5,14.9,65.3,Not applicable,1,1,0,0,0,0,1
Conventional,Refinancing,Owner-occupied as a principal dwelling,175.8,3,Application denied,One-to-four family dwelling (other than manufactured housing),Not applicable,Female,White,49.1,15,25.0,21.0,104.8,Not applicable,0,1,0,0,0,0,1
Conventional,Cash-out refinancing,Owner-occupied as a principal dwelling,455.7,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,Asian,124.4,3,12.5,43.2,40.5,Not applicable,0,0,0,0,0,0,3
Conventional,Cash-out refinancing,Owner-occupied as a principal dwelling,141.2,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,Black or African American,45.6,3,81.4,59.7,93.5,Not applicable,0,0,1,0,0,0,3
Conventional,Refinancing,Owner-occupied as a principal dwelling,377.8,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,98.9,19,38.0,34.8,65.2,Not applicable,1,1,0,0,0,0,1
Conventional,Home purchase,Owner-occupied as a principal dwelling,539.7,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,136.2,1,37.2,17.2,52.3,Not applicable,1,1,0,0,0,0,0
Conventional,Home purchase,Not applicable,233.4,3,Application denied,One-to-four family dwelling (other than manufactured housing),First lien,Female,Black or African American,84.2,15,79.4,34.4,68.1,Not applicable,0,0,1,0,0,0,0
FHA-insured,Refinancing,Owner-occupied as a principal dwelling,345.6,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,White,106.1,1,14.0,31.9,83.5,Not applicable,0,1,0,0,0,1,1
Conventional,Home purchase,Owner-occupied as a principal dwelling,50.0,5,File closed for incompleteness,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,16.3,9,31.7,33.1,95.3,Not applicable,1,1,0,0,0,0,0
Conventional,Home purchase,Owner-occupied as a principal dwelling,67.2,3,Application denied,One-to-four family dwelling (other than manufactured housing),First lien,Female,Hispanic or Latino,15.0,17,67.7,49.1,61.3,Not applicable,0,0,0,1,0,0,0
Conventional,Home purchase,Owner-occupied as a principal dwelling,225.0,3,Application denied,One-to-four family dwelling (other than manufactured housing),First lien,Male,Hispanic or Latino,64.6,3,51.1,45.2,86.6,Not applicable,1,0,0,1,0,0,0
Conventional,Refinancing,Not owner-occupied,263.5,3,Application denied,One-to-four family dwelling (other than manufactured housing),First lien,Female,Hispanic or Latino,70.2,1,89.5,43.4,81.8,Not applicable,0,0,0,1,0,0,1
Conventional,Home purchase,Owner-occupied as a principal dwelling,322.4,3,Application denied,One-to-four family dwelling (other than manufactured housing),First lien,Male,Hispanic or Latino,78.4,13,88.5,38.1,104.2,Not applicable,1,0,0,1,0,0,0
Conventional,Home purchase,Owner-occupied as a principal dwelling,423.7,5,File closed for incompleteness,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,115.9,11,21.6,29.0,97.1,Not applicable,1,1,0,0,0,0,0
Conventional,Refinancing,Owner-occupied as a principal dwelling,338.5,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,85.8,5,10.3,23.6,79.7,Not applicable,1,1,0,0,0,0,1
Conventional,Home purchase,Owner-occupied as a principal dwelling,480.6,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,White,114.4,3,24.4,24.2,57.5,Not applicable,0,1,0,0,0,0,0
Conventional,Refinancing,Owner-occupied as a principal dwelling,439.9,1,Loan originated,One-to-four family dwelling (other than manufactured housing),Not secured,Female,White,105.7,7,23.0,24.6,73.0,Not applicable,0,1,0,0,0,0,1
Conventional,Home purchase,Owner-occupied as a principal dwelling,278.3,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,86.6,17,38.7,35.2,89.9,Not a HOEPA loan,1,1,0,0,0,0,0
Conventional,Home purchase,Owner-occupied as a principal dwelling,164.3,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,62.1,5,29.0,35.4,60.1,Not applicable,1,1,0,0,0,0,0
FHA-insured,Cash-out refinancing,Owner-occupied as a principal dwelling,326.1,3,Application denied,One-to-four family dwelling (other than manufactured housing),First lien,Female,White,92.0,7,26.4,28.1,62.7,Not applicable,0,1,0,0,0,1,3
Conventional,Refinancing,Not owner-occupied,261.2,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,White,79.7,11,29.2,25.2,87.0,Not applicable,0,1,0,0,0,0,1
Conventional,Refinancing,Owner-occupied as a principal dwelling,321.8,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,White,97.2,1,30.3,36.3,67.7,Not applicable,0,1,0,0,0,0,1
FHA-insured,Home purchase,Owner-occupied as a principal dwelling,116.2,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,Black or African American,40.1,19,88.3,33.8,75.6,Not applicable,0,0,1,0,0,1,0
Conventional,Home purchase,Owner-occupied as a principal dwelling,362.0,1,Loan originated,One-to-four family dwelling (other than manufactured housing),Junior lien,Female,White,82.2,7,24.6,28.4,62.0,Not applicable,0,1,0,0,0,0,0
Conventional,Home purchase,Owner-occupied as a principal dwelling,317.6,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,119.7,19,27.2,29.6,66.3,Not a HOEPA loan,1,1,0,0,0,0,0
Conventional,Home purchase,Owner-occupied as a principal dwelling,404.4,4,Application withdrawn by applicant,One-to-four family dwelling (other than manufactured housing),Not applicable,Male,White,128.8,17,25.3,35.5,65.7,Not applicable,1,1,0,0,0,0,0
Conventional,Refinancing,Owner-occupied as a principal dwelling,251.8,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,Hispanic or Latino,95.4,19,66.0,34.4,58.0,Not a HOEPA loan,0,0,0,1,0,0,1
FHA-insured,Refinancing,Owner-occupied as a principal dwelling,237.1,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,American Indian or Alaska Native,54.7,11,29.6,39.5,79.4,Not applicable,0,0,0,0,0,1,1
Conventional,Refinancing,Owner-occupied as a principal dwelling,317.7,1,Loan originated,One-to-four family dwelling (other than manufactured housing),Junior lien,Male,White,108.3,1,3.7,34.5,64.9,Not applicable,1,1,0,0,0,0,1
FHA-insured,Home improvement,Owner-occupied as a principal dwelling,314.9,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,98.1,19,14.3,21.7,93.8,Not applicable,1,1,0,0,0,1,2
Conventional,Home improvement,Not applicable,540.4,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,123.6,9,18.1,36.8,30.7,Not applicable,1,1,0,0,0,0,2
Conventional,Home purchase,Not owner-occupied,128.7,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,32.1,5,56.9,18.8,49.9,Not applicable,1,1,0,0,0,0,0
Conventional,Refinancing,Not owner-occupied,50.0,1,Loan originated,One-to-four family dwelling (other than manufactured housing),Junior lien,Male,White,17.4,9,8.4,50.8,64.8,Not applicable,1,1,0,0,0,0,1
Conventional,Cash-out refinancing,Owner-occupied as a principal dwelling,52.9,3,Application denied,One-to-four family dwelling (other than manufactured housing),First lien,Female,Hispanic or Latino,19.1,7,94.5,50.3,61.4,Not applicable,0,0,0,1,0,0,3
FHA-insured,Home purchase,Owner-occupied as a principal dwelling,279.9,1,Loan originated,Multifamily dwelling,First lien,Male,Native Hawaiian or Other Pacific Islander,96.8,7,17.9,51.8,96.1,Not a HOEPA loan,1,0,0,0,0,1,0
FSA/RHS-guaranteed,Home purchase,Owner-occupied as a principal dwelling,338.5,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,Asian,97.3,11,50.7,30.2,105.0,Not applicable,0,0,0,0,0,3,0
Conventional,Refinancing,Owner-occupied as a principal dwelling,412.2,4,Application withdrawn by applicant,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,117.7,7,23.2,43.4,69.1,Not applicable,1,1,0,0,0,0,1
Conventional,Home purchase,Owner-occupied as a principal dwelling,524.2,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,White,141.0,1,22.2,47.3,95.1,Not applicable,0,1,0,0,0,0,0
Conventional,Home purchase,Owner-occupied as a principal dwelling,419.6,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,117.6,3,41.1,44.6,72.3,Not applicable,1,1,0,0,0,0,0
Conventional,Refinancing,Owner-occupied as a principal dwelling,308.7,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,White,78.9,13,15.7,38.4,87.0,Not applicable,0,1,0,0,0,0,1
